Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3126,735,10,174,123,227,112,4507,9.63 %,0.0223
B,SOCIALIST_ALLIANCE,80,18,4,5,11,4,6,128,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,858,187,14,35,47,94,27,1262,2.70 %,0.0062
D,THE_GREENS,2396,757,13,123,97,192,89,3667,7.84 %,0.0181
E,ANIMAL_JUSTICE_PARTY,551,131,5,15,22,44,32,800,1.71 %,0.004
F,ADVANCE,34,8,2,0,1,8,2,55,0.12 %,0.0003
G,GROUP_G,46,12,0,1,3,4,0,66,0.14 %,0.0003
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,79,23,1,1,7,11,5,127,0.27 %,0.0006
J,LABOR__COUNTRY_LABOR,6146,2233,73,259,424,383,153,9671,20.67 %,0.0478
K,LIBERAL__THE_NATIONALS,11016,4644,306,399,889,687,146,18087,38.65 %,0.0894
L,GROUP_L,63,28,0,2,2,8,1,104,0.22 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,175,52,2,11,13,17,1,271,0.58 %,0.0013
N,KEEP_SYDNEY_OPEN,134,41,5,3,3,18,8,212,0.45 %,0.001
O,LIBERAL_DEMOCRATS,569,185,14,38,30,48,8,892,1.91 %,0.0044
P,VOLUNTARY_EUTHANASIA_PARTY,461,165,1,13,41,37,4,722,1.54 %,0.0036
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,673,182,3,36,51,36,10,991,2.12 %,0.0049
R,THE_SMALL_BUSINESS_PARTY,219,64,0,6,12,25,8,334,0.71 %,0.0017
S,GROUP_S,13,4,1,0,1,6,0,25,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3266,1028,11,103,205,179,67,4859,10.38 %,0.024
_TOTAL_,TOTAL_VOTES,32609.0,11036.0,480.0,1271.0,2023.0,2063.0,711.0,50193.0,nan,nan
