Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,725,150,0,130,16,105,44,1170,2.69 %,0.0058
B,SOCIALIST_ALLIANCE,135,21,0,8,5,22,4,195,0.45 %,0.001
C,SUSTAINABLE_AUSTRALIA,283,71,0,44,6,88,22,514,1.18 %,0.0025
D,THE_GREENS,1858,421,2,345,62,341,125,3154,7.26 %,0.0156
E,ANIMAL_JUSTICE_PARTY,323,93,0,76,24,91,23,630,1.45 %,0.0031
F,ADVANCE,37,9,0,4,1,11,1,63,0.15 %,0.0003
G,GROUP_G,86,19,0,4,1,10,3,123,0.28 %,0.0006
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,224,66,0,19,2,11,12,334,0.77 %,0.0017
J,LABOR__COUNTRY_LABOR,12792,3112,22,1623,375,1112,581,19617,45.17 %,0.097
K,LIBERAL__THE_NATIONALS,7533,2354,11,980,309,704,346,12237,28.18 %,0.0605
L,GROUP_L,75,23,1,9,3,9,2,122,0.28 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,118,22,0,21,13,20,6,200,0.46 %,0.001
N,KEEP_SYDNEY_OPEN,431,106,1,99,20,147,36,840,1.93 %,0.0042
O,LIBERAL_DEMOCRATS,710,142,2,140,37,136,39,1206,2.78 %,0.006
P,VOLUNTARY_EUTHANASIA_PARTY,107,28,0,16,19,38,6,214,0.49 %,0.0011
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,700,176,0,135,37,99,30,1177,2.71 %,0.0058
R,THE_SMALL_BUSINESS_PARTY,149,44,0,31,3,59,5,291,0.67 %,0.0014
S,GROUP_S,33,4,0,3,0,10,0,50,0.12 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,739,206,1,116,96,104,23,1285,2.96 %,0.0064
_TOTAL_,TOTAL_VOTES,30750.0,7683.0,41.0,4143.0,1049.0,3193.0,1426.0,48285.0,nan,nan
