Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,718,455,1,98,36,63,37,1408,2.84 %,0.007
B,SOCIALIST_ALLIANCE,48,16,1,8,1,11,2,87,0.18 %,0.0004
C,SUSTAINABLE_AUSTRALIA,435,220,2,59,32,42,20,810,1.63 %,0.004
D,THE_GREENS,8439,3752,13,782,295,576,402,14259,28.78 %,0.0705
E,ANIMAL_JUSTICE_PARTY,558,269,7,56,34,36,40,1000,2.02 %,0.0049
F,ADVANCE,12,0,0,2,0,1,0,15,0.03 %,0.0001
G,GROUP_G,7,12,0,0,1,7,1,28,0.06 %,0.0001
H,GROUP_H,2.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.01 %,0.0
I,FLUX,66,38,1,10,7,4,4,130,0.26 %,0.0006
J,LABOR__COUNTRY_LABOR,6259,4180,34,569,359,390,248,12039,24.30 %,0.0595
K,LIBERAL__THE_NATIONALS,6863,6004,80,552,685,447,162,14793,29.86 %,0.0731
L,GROUP_L,127,65,0,8,5,9,5,219,0.44 %,0.0011
M,AUSTRALIAN_CONSERVATIVES_NSW,53,28,0,11,2,1,2,97,0.20 %,0.0005
N,KEEP_SYDNEY_OPEN,229,69,0,35,4,44,30,411,0.83 %,0.002
O,LIBERAL_DEMOCRATS,182,119,1,27,19,13,13,374,0.75 %,0.0018
P,VOLUNTARY_EUTHANASIA_PARTY,265,148,0,34,35,40,8,530,1.07 %,0.0026
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,485,296,4,30,39,33,13,900,1.82 %,0.0044
R,THE_SMALL_BUSINESS_PARTY,134,73,0,17,13,13,9,259,0.52 %,0.0013
S,GROUP_S,20,6,0,2,0,2,0,30,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1040,742,3,130,130,68,29,2142,4.32 %,0.0106
_TOTAL_,TOTAL_VOTES,27224.0,17231.0,163.0,2512.0,1723.0,1834.0,1064.0,51751.0,nan,nan
