Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,203,79,0,50,14,33,7,386,0.79 %,0.0019
B,SOCIALIST_ALLIANCE,142,36,0,26,9,29,13,255,0.52 %,0.0013
C,SUSTAINABLE_AUSTRALIA,308,87,0,64,36,89,27,611,1.24 %,0.003
D,THE_GREENS,10244,2766,9,1104,474,1048,490,16135,32.86 %,0.0797
E,ANIMAL_JUSTICE_PARTY,488,124,0,87,44,74,32,849,1.73 %,0.0042
F,ADVANCE,9,7,0,0,0,5,2,23,0.05 %,0.0001
G,GROUP_G,18,7,0,1,0,6,0,32,0.07 %,0.0002
H,GROUP_H,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,126,31,0,9,6,11,6,189,0.38 %,0.0009
J,LABOR__COUNTRY_LABOR,8548,2912,41,1068,550,866,394,14379,29.29 %,0.0711
K,LIBERAL__THE_NATIONALS,6425,1792,20,876,440,810,250,10613,21.62 %,0.0525
L,GROUP_L,97,16,0,9,5,12,2,141,0.29 %,0.0007
M,AUSTRALIAN_CONSERVATIVES_NSW,74,25,0,17,6,12,6,140,0.29 %,0.0007
N,KEEP_SYDNEY_OPEN,1114,261,0,262,73,262,83,2055,4.19 %,0.0102
O,LIBERAL_DEMOCRATS,519,149,1,107,18,126,57,977,1.99 %,0.0048
P,VOLUNTARY_EUTHANASIA_PARTY,362,118,0,45,33,50,8,616,1.25 %,0.003
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,173,60,1,27,16,17,11,305,0.62 %,0.0015
R,THE_SMALL_BUSINESS_PARTY,125,68,0,24,12,41,8,278,0.57 %,0.0014
S,GROUP_S,29,5,0,6,1,12,1,54,0.11 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,542,250,0,95,63,63,19,1032,2.10 %,0.0051
_TOTAL_,TOTAL_VOTES,30576.0,9078.0,74.0,3979.0,1817.0,3597.0,1453.0,50574.0,nan,nan
