Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,770,241,0,124,11,101,38,1285,3.12 %,0.0064
B,SOCIALIST_ALLIANCE,108,33,1,13,4,33,8,200,0.49 %,0.001
C,SUSTAINABLE_AUSTRALIA,191,75,1,35,5,64,17,388,0.94 %,0.0019
D,THE_GREENS,1326,338,2,235,50,226,91,2268,5.50 %,0.0112
E,ANIMAL_JUSTICE_PARTY,323,84,2,47,24,68,24,572,1.39 %,0.0028
F,ADVANCE,43,11,1,3,1,12,3,74,0.18 %,0.0004
G,GROUP_G,81,30,0,12,0,9,5,137,0.33 %,0.0007
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,167,74,1,23,2,6,3,276,0.67 %,0.0014
J,LABOR__COUNTRY_LABOR,12160,4788,33,1425,415,944,598,20363,49.40 %,0.1006
K,LIBERAL__THE_NATIONALS,6259,2138,33,716,360,466,222,10194,24.73 %,0.0504
L,GROUP_L,55,21,0,6,0,6,3,91,0.22 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,144,43,0,26,3,22,11,249,0.60 %,0.0012
N,KEEP_SYDNEY_OPEN,333,100,0,70,7,77,28,615,1.49 %,0.003
O,LIBERAL_DEMOCRATS,633,208,0,85,31,91,37,1085,2.63 %,0.0054
P,VOLUNTARY_EUTHANASIA_PARTY,88,33,2,10,7,28,5,173,0.42 %,0.0009
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,659,217,3,95,34,99,24,1131,2.74 %,0.0056
R,THE_SMALL_BUSINESS_PARTY,143,61,0,45,12,32,11,304,0.74 %,0.0015
S,GROUP_S,12,10,0,0,1,13,1,37,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,985,393,3,114,131,105,37,1768,4.29 %,0.0087
_TOTAL_,TOTAL_VOTES,28510.0,9970.0,88.0,3467.0,1119.0,2483.0,1321.0,46958.0,nan,nan
