Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,5910,4260,28,756,357,553,243,12107,26.78 %,0.0598
B,SOCIALIST_ALLIANCE,44,24,0,5,1,7,4,85,0.19 %,0.0004
C,SUSTAINABLE_AUSTRALIA,232,128,1,34,17,32,13,457,1.01 %,0.0023
D,THE_GREENS,599,311,4,149,42,63,31,1199,2.65 %,0.0059
E,ANIMAL_JUSTICE_PARTY,296,170,3,36,12,23,28,568,1.26 %,0.0028
F,ADVANCE,30,21,0,4,0,6,4,65,0.14 %,0.0003
G,GROUP_G,40,24,0,4,1,4,1,74,0.16 %,0.0004
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,86,44,0,9,0,2,1,142,0.31 %,0.0007
J,LABOR__COUNTRY_LABOR,4953,3705,90,547,233,296,165,9989,22.10 %,0.0494
K,LIBERAL__THE_NATIONALS,6035,3610,71,1053,840,669,156,12434,27.50 %,0.0615
L,GROUP_L,721,415,1,25,40,48,14,1264,2.80 %,0.0062
M,AUSTRALIAN_CONSERVATIVES_NSW,85,60,0,14,13,7,5,184,0.41 %,0.0009
N,KEEP_SYDNEY_OPEN,58,33,0,14,0,8,8,121,0.27 %,0.0006
O,LIBERAL_DEMOCRATS,228,165,3,35,18,38,11,498,1.10 %,0.0025
P,VOLUNTARY_EUTHANASIA_PARTY,187,138,1,23,28,25,7,409,0.90 %,0.002
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,364,234,3,42,24,31,7,705,1.56 %,0.0035
R,THE_SMALL_BUSINESS_PARTY,90,74,0,19,8,13,4,208,0.46 %,0.001
S,GROUP_S,9,7,0,0,0,4,0,20,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2288,1482,4,352,242,236,64,4668,10.33 %,0.0231
_TOTAL_,TOTAL_VOTES,23980.0,15744.0,234.0,3241.0,1901.0,2088.0,820.0,48008.0,nan,nan
