Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3937,2420,10,489,127,171,199,7353,14.88 %,0.0363
B,SOCIALIST_ALLIANCE,73,37,0,11,2,6,4,133,0.27 %,0.0007
C,SUSTAINABLE_AUSTRALIA,523,248,3,52,20,48,28,922,1.87 %,0.0046
D,THE_GREENS,1609,777,7,284,54,95,94,2920,5.91 %,0.0144
E,ANIMAL_JUSTICE_PARTY,460,230,0,67,16,17,35,825,1.67 %,0.0041
F,ADVANCE,21,17,0,1,0,1,2,42,0.08 %,0.0002
G,GROUP_G,24,23,2,3,0,3,0,55,0.11 %,0.0003
H,GROUP_H,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,85,29,0,5,4,2,1,126,0.25 %,0.0006
J,LABOR__COUNTRY_LABOR,5931,4165,92,541,263,268,220,11480,23.23 %,0.0567
K,LIBERAL__THE_NATIONALS,8670,7062,186,663,471,301,199,17552,35.51 %,0.0868
L,GROUP_L,90,45,1,7,9,6,3,161,0.33 %,0.0008
M,AUSTRALIAN_CONSERVATIVES_NSW,104,57,1,9,10,3,6,190,0.38 %,0.0009
N,KEEP_SYDNEY_OPEN,230,123,2,45,7,25,24,456,0.92 %,0.0023
O,LIBERAL_DEMOCRATS,246,158,1,22,6,23,14,470,0.95 %,0.0023
P,VOLUNTARY_EUTHANASIA_PARTY,257,177,0,34,14,27,11,520,1.05 %,0.0026
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,474,261,2,40,28,22,17,844,1.71 %,0.0042
R,THE_SMALL_BUSINESS_PARTY,161,97,0,16,6,16,12,308,0.62 %,0.0015
S,GROUP_S,17,4,0,1,1,4,1,28,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2644,1835,5,226,126,106,84,5026,10.17 %,0.0248
_TOTAL_,TOTAL_VOTES,27545.0,18790.0,333.0,2633.0,1190.0,1160.0,1022.0,52673.0,nan,nan
