Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,481,76,0,90,28,81,25,781,1.57 %,0.0039
B,SOCIALIST_ALLIANCE,78,12,0,12,1,19,5,127,0.26 %,0.0006
C,SUSTAINABLE_AUSTRALIA,493,74,0,55,38,89,20,769,1.55 %,0.0038
D,THE_GREENS,2467,353,1,331,87,327,103,3669,7.37 %,0.0181
E,ANIMAL_JUSTICE_PARTY,691,129,0,75,40,79,36,1050,2.11 %,0.0052
F,ADVANCE,28,2,0,3,0,9,0,42,0.08 %,0.0002
G,GROUP_G,19,7,0,3,0,8,2,39,0.08 %,0.0002
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.01 %,0.0
I,FLUX,93,16,1,13,4,9,2,138,0.28 %,0.0007
J,LABOR__COUNTRY_LABOR,7198,1237,6,841,318,655,299,10554,21.21 %,0.0522
K,LIBERAL__THE_NATIONALS,17474,3315,33,1572,1013,1409,412,25228,50.70 %,0.1247
L,GROUP_L,35,11,0,6,2,12,2,68,0.14 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,186,45,1,20,12,20,3,287,0.58 %,0.0014
N,KEEP_SYDNEY_OPEN,509,91,0,92,15,115,29,851,1.71 %,0.0042
O,LIBERAL_DEMOCRATS,1004,172,1,171,69,193,36,1646,3.31 %,0.0081
P,VOLUNTARY_EUTHANASIA_PARTY,202,45,0,17,18,32,1,315,0.63 %,0.0016
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1095,220,0,133,89,96,40,1673,3.36 %,0.0083
R,THE_SMALL_BUSINESS_PARTY,208,55,0,32,11,38,15,359,0.72 %,0.0018
S,GROUP_S,27,0,0,0,1,5,0,33,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1365,320,2,110,155,127,32,2111,4.24 %,0.0104
_TOTAL_,TOTAL_VOTES,35400.0,6476.0,45.0,3728.0,1934.0,3388.0,1123.0,52094.0,nan,nan
