Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1899,1137,13,151,72,129,90,3491,7.11 %,0.0173
B,SOCIALIST_ALLIANCE,59,39,0,4,2,5,3,112,0.23 %,0.0006
C,SUSTAINABLE_AUSTRALIA,248,182,2,32,23,38,11,536,1.09 %,0.0026
D,THE_GREENS,2856,1576,10,254,87,211,115,5109,10.40 %,0.0253
E,ANIMAL_JUSTICE_PARTY,530,423,6,52,25,39,35,1110,2.26 %,0.0055
F,ADVANCE,7,12,0,3,1,0,1,24,0.05 %,0.0001
G,GROUP_G,24,17,0,2,1,3,2,49,0.10 %,0.0002
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,65,67,1,4,0,3,2,142,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,6953,5473,93,442,310,431,259,13961,28.42 %,0.069
K,LIBERAL__THE_NATIONALS,8805,7411,185,517,656,493,170,18237,37.12 %,0.0901
L,GROUP_L,36,23,2,5,1,4,1,72,0.15 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,206,115,1,20,16,9,4,371,0.76 %,0.0018
N,KEEP_SYDNEY_OPEN,88,35,1,22,2,15,17,180,0.37 %,0.0009
O,LIBERAL_DEMOCRATS,393,263,8,35,24,32,12,767,1.56 %,0.0038
P,VOLUNTARY_EUTHANASIA_PARTY,397,217,3,24,28,40,11,720,1.47 %,0.0036
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,314,218,6,22,21,12,10,603,1.23 %,0.003
R,THE_SMALL_BUSINESS_PARTY,132,76,0,10,4,11,5,238,0.48 %,0.0012
S,GROUP_S,1,0,0,0,0,1,0,2,0.00 %,0.0
T,PAULINE_HANSONS_ONE_NATION,1723,1254,1,126,130,120,38,3392,6.90 %,0.0168
_TOTAL_,TOTAL_VOTES,26773.0,19575.0,356.0,1807.0,1421.0,1620.0,835.0,52387.0,nan,nan
