Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,786,355,0,105,32,45,48,1371,2.82 %,0.0068
B,SOCIALIST_ALLIANCE,131,44,0,15,6,8,3,207,0.43 %,0.001
C,SUSTAINABLE_AUSTRALIA,628,192,0,60,34,59,19,992,2.04 %,0.0049
D,THE_GREENS,4897,1546,0,457,105,300,151,7456,15.33 %,0.0369
E,ANIMAL_JUSTICE_PARTY,1054,452,2,90,35,43,34,1710,3.52 %,0.0085
F,ADVANCE,12,3,0,2,2,0,0,19,0.04 %,0.0001
G,GROUP_G,16,4,0,2,0,1,1,24,0.05 %,0.0001
H,GROUP_H,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,98,34,0,6,4,6,4,152,0.31 %,0.0008
J,LABOR__COUNTRY_LABOR,10443,4929,9,834,418,530,284,17447,35.87 %,0.0862
K,LIBERAL__THE_NATIONALS,7232,3478,8,594,356,370,146,12184,25.05 %,0.0602
L,GROUP_L,86,32,0,7,6,10,0,141,0.29 %,0.0007
M,AUSTRALIAN_CONSERVATIVES_NSW,145,55,0,14,8,12,5,239,0.49 %,0.0012
N,KEEP_SYDNEY_OPEN,413,128,0,70,11,45,17,684,1.41 %,0.0034
O,LIBERAL_DEMOCRATS,413,168,0,49,20,36,11,697,1.43 %,0.0034
P,VOLUNTARY_EUTHANASIA_PARTY,521,217,1,31,36,34,7,847,1.74 %,0.0042
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1112,415,0,87,36,44,20,1714,3.52 %,0.0085
R,THE_SMALL_BUSINESS_PARTY,114,43,0,15,4,17,6,199,0.41 %,0.001
S,GROUP_S,20,0,0,0,0,5,0,25,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1417,710,1,170,99,85,30,2512,5.16 %,0.0124
_TOTAL_,TOTAL_VOTES,30867.0,13339.0,21.0,2717.0,1237.0,1678.0,818.0,50677.0,nan,nan
