Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,958,396,0,140,16,147,60,1717,3.86 %,0.0085
B,SOCIALIST_ALLIANCE,111,94,0,12,2,14,12,245,0.55 %,0.0012
C,SUSTAINABLE_AUSTRALIA,307,158,0,52,9,119,23,668,1.50 %,0.0033
D,THE_GREENS,1463,522,0,271,27,290,145,2718,6.11 %,0.0134
E,ANIMAL_JUSTICE_PARTY,423,157,0,73,14,103,42,812,1.83 %,0.004
F,ADVANCE,71,35,0,10,1,10,5,132,0.30 %,0.0007
G,GROUP_G,84,70,0,13,0,15,6,188,0.42 %,0.0009
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,210,140,1,22,2,7,13,395,0.89 %,0.002
J,LABOR__COUNTRY_LABOR,11298,7143,15,1268,367,1169,665,21925,49.31 %,0.1084
K,LIBERAL__THE_NATIONALS,4853,1756,5,666,243,558,236,8317,18.71 %,0.0411
L,GROUP_L,96,49,0,10,0,7,5,167,0.38 %,0.0008
M,AUSTRALIAN_CONSERVATIVES_NSW,154,84,0,31,8,17,10,304,0.68 %,0.0015
N,KEEP_SYDNEY_OPEN,419,160,0,76,12,150,33,850,1.91 %,0.0042
O,LIBERAL_DEMOCRATS,922,399,2,128,16,127,54,1648,3.71 %,0.0081
P,VOLUNTARY_EUTHANASIA_PARTY,131,62,0,21,19,39,5,277,0.62 %,0.0014
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,746,396,0,104,41,76,43,1406,3.16 %,0.0069
R,THE_SMALL_BUSINESS_PARTY,239,121,0,38,12,73,15,498,1.12 %,0.0025
S,GROUP_S,13,15,0,4,1,9,1,43,0.10 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1305,362,0,168,116,148,50,2149,4.83 %,0.0106
_TOTAL_,TOTAL_VOTES,27246.0,13650.0,26.0,3400.0,925.0,3159.0,1540.0,49946.0,nan,nan
