Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1576,410,0,245,52,187,106,2576,4.19 %,0.0127
B,SOCIALIST_ALLIANCE,76,22,0,14,1,16,10,139,0.23 %,0.0007
C,SUSTAINABLE_AUSTRALIA,466,141,0,52,33,89,25,806,1.31 %,0.004
D,THE_GREENS,1639,364,0,263,70,183,126,2645,4.31 %,0.0131
E,ANIMAL_JUSTICE_PARTY,715,141,0,132,31,116,54,1189,1.94 %,0.0059
F,ADVANCE,29,8,1,3,0,9,0,50,0.08 %,0.0002
G,GROUP_G,44,8,0,9,3,8,2,74,0.12 %,0.0004
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.00 %,0.0
I,FLUX,115,30,0,7,3,6,12,173,0.28 %,0.0009
J,LABOR__COUNTRY_LABOR,10112,2964,0,1242,410,765,520,16013,26.06 %,0.0791
K,LIBERAL__THE_NATIONALS,15521,4312,1,1376,779,1014,504,23507,38.26 %,0.1162
L,GROUP_L,45,14,0,8,1,8,1,77,0.13 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,153,50,0,22,11,15,6,257,0.42 %,0.0013
N,KEEP_SYDNEY_OPEN,729,142,0,118,16,118,58,1181,1.92 %,0.0058
O,LIBERAL_DEMOCRATS,1001,253,0,160,38,125,60,1637,2.66 %,0.0081
P,VOLUNTARY_EUTHANASIA_PARTY,254,97,0,27,18,60,9,465,0.76 %,0.0023
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,869,253,0,110,39,76,36,1383,2.25 %,0.0068
R,THE_SMALL_BUSINESS_PARTY,312,73,0,34,14,50,11,494,0.80 %,0.0024
S,GROUP_S,21,6,0,4,0,8,1,40,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,5364,1999,2,496,283,390,177,8711,14.18 %,0.0431
_TOTAL_,TOTAL_VOTES,42227.0,12005.0,9.0,4584.0,1825.0,3320.0,1830.0,65800.0,nan,nan
