Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1170,209,0,159,25,96,55,1714,3.84 %,0.0085
B,SOCIALIST_ALLIANCE,89,18,0,12,2,6,4,131,0.29 %,0.0006
C,SUSTAINABLE_AUSTRALIA,440,63,0,52,16,54,22,647,1.45 %,0.0032
D,THE_GREENS,1586,363,0,217,25,125,85,2401,5.38 %,0.0119
E,ANIMAL_JUSTICE_PARTY,1001,131,0,110,21,61,38,1362,3.05 %,0.0067
F,ADVANCE,33,2,0,3,0,4,0,42,0.09 %,0.0002
G,GROUP_G,64,11,0,7,1,11,3,97,0.22 %,0.0005
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.00 %,0.0
I,FLUX,121,41,0,7,1,5,8,183,0.41 %,0.0009
J,LABOR__COUNTRY_LABOR,12400,3597,1,1058,339,624,440,18459,41.35 %,0.0912
K,LIBERAL__THE_NATIONALS,6552,2071,2,641,243,365,133,10007,22.42 %,0.0495
L,GROUP_L,40,11,0,8,0,7,2,68,0.15 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,147,29,0,14,5,12,4,211,0.47 %,0.001
N,KEEP_SYDNEY_OPEN,529,82,0,108,10,72,36,837,1.88 %,0.0041
O,LIBERAL_DEMOCRATS,788,180,1,92,19,57,24,1161,2.60 %,0.0057
P,VOLUNTARY_EUTHANASIA_PARTY,198,63,0,16,15,32,3,327,0.73 %,0.0016
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1009,327,0,76,31,42,26,1511,3.39 %,0.0075
R,THE_SMALL_BUSINESS_PARTY,156,22,0,24,6,18,10,236,0.53 %,0.0012
S,GROUP_S,14,2,0,1,0,11,0,28,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3329,1135,1,300,164,192,82,5203,11.66 %,0.0257
_TOTAL_,TOTAL_VOTES,32614.0,8972.0,5.0,3124.0,934.0,1827.0,1057.0,48533.0,nan,nan
