Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,829,234,2,138,13,96,38,1350,2.88 %,0.0067
B,SOCIALIST_ALLIANCE,146,37,0,20,3,29,9,244,0.52 %,0.0012
C,SUSTAINABLE_AUSTRALIA,252,46,0,49,16,72,19,454,0.97 %,0.0022
D,THE_GREENS,3216,588,2,546,81,399,200,5032,10.72 %,0.0249
E,ANIMAL_JUSTICE_PARTY,440,85,0,93,16,63,19,716,1.53 %,0.0035
F,ADVANCE,34,9,0,4,1,3,4,55,0.12 %,0.0003
G,GROUP_G,105,21,0,10,3,5,3,147,0.31 %,0.0007
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.00 %,0.0
I,FLUX,185,50,1,16,1,6,5,264,0.56 %,0.0013
J,LABOR__COUNTRY_LABOR,12747,3140,12,1526,464,912,497,19298,41.11 %,0.0954
K,LIBERAL__THE_NATIONALS,8139,1987,9,940,342,645,273,12335,26.28 %,0.061
L,GROUP_L,62,18,0,9,1,9,0,99,0.21 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,180,26,0,18,4,21,6,255,0.54 %,0.0013
N,KEEP_SYDNEY_OPEN,734,139,0,122,14,136,44,1189,2.53 %,0.0059
O,LIBERAL_DEMOCRATS,842,160,1,119,58,112,37,1329,2.83 %,0.0066
P,VOLUNTARY_EUTHANASIA_PARTY,154,28,0,22,17,32,10,263,0.56 %,0.0013
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,995,275,1,114,49,95,32,1561,3.33 %,0.0077
R,THE_SMALL_BUSINESS_PARTY,323,81,1,46,7,49,10,517,1.10 %,0.0026
S,GROUP_S,27,9,0,4,1,10,2,53,0.11 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,1102,281,0,129,100,113,21,1746,3.72 %,0.0086
_TOTAL_,TOTAL_VOTES,34117.0,7827.0,31.0,4223.0,1208.0,2890.0,1319.0,51615.0,nan,nan
