Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,600,96,0,114,33,128,32,1003,1.93 %,0.005
B,SOCIALIST_ALLIANCE,71,7,0,11,0,18,4,111,0.21 %,0.0005
C,SUSTAINABLE_AUSTRALIA,478,75,0,51,39,111,24,778,1.50 %,0.0038
D,THE_GREENS,2068,268,0,312,89,314,141,3192,6.15 %,0.0158
E,ANIMAL_JUSTICE_PARTY,425,112,0,72,24,95,35,763,1.47 %,0.0038
F,ADVANCE,38,10,0,6,0,7,2,63,0.12 %,0.0003
G,GROUP_G,25,3,0,3,4,10,0,45,0.09 %,0.0002
H,GROUP_H,2.0,0.0,0.0,1.0,4.0,1.0,0.0,8.0,0.02 %,0.0
I,FLUX,74,9,0,6,5,15,3,112,0.22 %,0.0006
J,LABOR__COUNTRY_LABOR,6115,1002,4,847,293,563,299,9123,17.59 %,0.0451
K,LIBERAL__THE_NATIONALS,20052,3498,18,1896,1228,1762,551,29005,55.92 %,0.1434
L,GROUP_L,31,7,0,5,4,4,0,51,0.10 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,235,93,0,32,6,34,7,407,0.78 %,0.002
N,KEEP_SYDNEY_OPEN,538,64,0,108,22,119,29,880,1.70 %,0.0043
O,LIBERAL_DEMOCRATS,978,180,1,150,65,219,53,1646,3.17 %,0.0081
P,VOLUNTARY_EUTHANASIA_PARTY,190,33,0,29,16,39,5,312,0.60 %,0.0015
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,899,170,0,132,66,101,32,1400,2.70 %,0.0069
R,THE_SMALL_BUSINESS_PARTY,171,40,0,38,12,42,13,316,0.61 %,0.0016
S,GROUP_S,16,1,0,3,0,8,0,28,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1548,340,2,227,194,245,59,2615,5.04 %,0.0129
_TOTAL_,TOTAL_VOTES,36336.0,6265.0,28.0,4245.0,2118.0,3889.0,1351.0,54232.0,nan,nan
