Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3055,1239,2,528,55,181,131,5191,10.55 %,0.0257
B,SOCIALIST_ALLIANCE,79,23,0,16,0,12,2,132,0.27 %,0.0007
C,SUSTAINABLE_AUSTRALIA,540,153,4,89,19,60,16,881,1.79 %,0.0044
D,THE_GREENS,1849,532,3,328,35,149,117,3013,6.12 %,0.0149
E,ANIMAL_JUSTICE_PARTY,1161,471,6,178,16,86,60,1978,4.02 %,0.0098
F,ADVANCE,20,16,0,4,0,5,1,46,0.09 %,0.0002
G,GROUP_G,31,12,0,4,0,6,1,54,0.11 %,0.0003
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,104,30,0,11,5,7,8,165,0.34 %,0.0008
J,LABOR__COUNTRY_LABOR,11561,4894,77,1699,371,609,382,19593,39.80 %,0.0968
K,LIBERAL__THE_NATIONALS,5434,2230,23,829,145,292,151,9104,18.49 %,0.045
L,GROUP_L,38,26,0,9,3,2,3,81,0.16 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,141,53,0,32,11,8,8,253,0.51 %,0.0013
N,KEEP_SYDNEY_OPEN,173,37,0,40,3,24,12,289,0.59 %,0.0014
O,LIBERAL_DEMOCRATS,376,148,1,74,9,34,20,662,1.34 %,0.0033
P,VOLUNTARY_EUTHANASIA_PARTY,332,128,0,49,16,31,6,562,1.14 %,0.0028
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,437,114,2,74,36,25,10,698,1.42 %,0.0034
R,THE_SMALL_BUSINESS_PARTY,228,67,1,54,4,24,9,387,0.79 %,0.0019
S,GROUP_S,16,7,0,0,2,0,0,25,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3654,1373,5,562,145,250,106,6095,12.38 %,0.0301
_TOTAL_,TOTAL_VOTES,31798.0,12228.0,137.0,4857.0,894.0,1832.0,1120.0,52866.0,nan,nan
