Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1141,246,0,240,27,101,65,1820,3.78 %,0.009
B,SOCIALIST_ALLIANCE,127,26,0,22,2,15,6,198,0.41 %,0.001
C,SUSTAINABLE_AUSTRALIA,420,76,0,87,14,52,23,672,1.40 %,0.0033
D,THE_GREENS,3458,567,2,624,57,242,177,5127,10.65 %,0.0253
E,ANIMAL_JUSTICE_PARTY,906,203,0,153,28,83,46,1419,2.95 %,0.007
F,ADVANCE,23,2,0,2,1,2,0,30,0.06 %,0.0001
G,GROUP_G,37,6,0,7,1,6,0,57,0.12 %,0.0003
H,GROUP_H,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,128,30,0,21,10,5,3,197,0.41 %,0.001
J,LABOR__COUNTRY_LABOR,12341,2880,37,1641,720,602,402,18623,38.68 %,0.092
K,LIBERAL__THE_NATIONALS,8436,2099,26,1098,498,444,188,12789,26.56 %,0.0632
L,GROUP_L,73,13,0,9,1,6,0,102,0.21 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,224,47,0,27,17,14,12,341,0.71 %,0.0017
N,KEEP_SYDNEY_OPEN,266,49,0,76,4,42,16,453,0.94 %,0.0022
O,LIBERAL_DEMOCRATS,547,107,1,79,36,57,20,847,1.76 %,0.0042
P,VOLUNTARY_EUTHANASIA_PARTY,445,104,0,56,34,52,18,709,1.47 %,0.0035
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,637,137,0,84,27,26,14,925,1.92 %,0.0046
R,THE_SMALL_BUSINESS_PARTY,283,42,0,53,17,29,13,437,0.91 %,0.0022
S,GROUP_S,15,2,0,1,1,5,1,25,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2131,543,3,313,150,140,53,3333,6.92 %,0.0165
_TOTAL_,TOTAL_VOTES,33908.0,7517.0,76.0,4865.0,1678.0,1962.0,1107.0,51113.0,nan,nan
