Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3870,1843,35,261,88,209,171,6477,13.43 %,0.032
B,SOCIALIST_ALLIANCE,62,24,0,7,1,8,8,110,0.23 %,0.0005
C,SUSTAINABLE_AUSTRALIA,407,135,4,51,14,51,16,678,1.41 %,0.0034
D,THE_GREENS,2329,951,9,324,57,211,131,4012,8.32 %,0.0198
E,ANIMAL_JUSTICE_PARTY,393,145,1,52,10,42,35,678,1.41 %,0.0034
F,ADVANCE,18,14,2,4,0,4,2,44,0.09 %,0.0002
G,GROUP_G,55,26,0,1,0,4,1,87,0.18 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,71,35,1,6,1,6,2,122,0.25 %,0.0006
J,LABOR__COUNTRY_LABOR,6004,3487,81,480,222,379,199,10852,22.51 %,0.0536
K,LIBERAL__THE_NATIONALS,9785,5919,181,649,461,568,137,17700,36.71 %,0.0875
L,GROUP_L,89,27,1,11,0,10,0,138,0.29 %,0.0007
M,AUSTRALIAN_CONSERVATIVES_NSW,105,46,0,14,1,5,4,175,0.36 %,0.0009
N,KEEP_SYDNEY_OPEN,62,21,0,9,2,8,3,105,0.22 %,0.0005
O,LIBERAL_DEMOCRATS,263,108,3,21,8,21,12,436,0.90 %,0.0022
P,VOLUNTARY_EUTHANASIA_PARTY,344,148,3,32,10,38,2,577,1.20 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,645,331,4,37,18,30,17,1082,2.24 %,0.0053
R,THE_SMALL_BUSINESS_PARTY,137,50,0,14,3,16,4,224,0.46 %,0.0011
S,GROUP_S,11,3,0,1,0,3,0,18,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2802,1350,6,214,98,151,64,4685,9.72 %,0.0232
_TOTAL_,TOTAL_VOTES,29506.0,15383.0,360.0,2310.0,1013.0,1785.0,852.0,51209.0,nan,nan
