Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2150,709,3,183,38,116,105,3304,7.12 %,0.0163
B,SOCIALIST_ALLIANCE,73,18,0,6,3,7,5,112,0.24 %,0.0006
C,SUSTAINABLE_AUSTRALIA,481,129,2,37,29,66,23,767,1.65 %,0.0038
D,THE_GREENS,3534,942,7,304,77,262,154,5280,11.38 %,0.0261
E,ANIMAL_JUSTICE_PARTY,816,291,8,49,23,47,45,1279,2.76 %,0.0063
F,ADVANCE,17,12,1,2,0,0,1,33,0.07 %,0.0002
G,GROUP_G,29,14,1,3,1,5,1,54,0.12 %,0.0003
H,GROUP_H,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01 %,0.0
I,FLUX,73,25,1,2,2,3,2,108,0.23 %,0.0005
J,LABOR__COUNTRY_LABOR,7126,2397,77,471,280,407,180,10938,23.57 %,0.0541
K,LIBERAL__THE_NATIONALS,10393,4967,157,493,496,590,214,17310,37.30 %,0.0856
L,GROUP_L,112,44,0,6,7,9,4,182,0.39 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,112,37,0,8,10,17,3,187,0.40 %,0.0009
N,KEEP_SYDNEY_OPEN,131,22,0,18,3,23,8,205,0.44 %,0.001
O,LIBERAL_DEMOCRATS,395,147,9,33,16,41,11,652,1.41 %,0.0032
P,VOLUNTARY_EUTHANASIA_PARTY,502,151,5,25,33,30,11,757,1.63 %,0.0037
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,821,244,7,43,43,36,19,1213,2.61 %,0.006
R,THE_SMALL_BUSINESS_PARTY,204,54,0,20,11,19,6,314,0.68 %,0.0016
S,GROUP_S,10,5,0,2,0,2,0,19,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2434,737,5,142,121,174,52,3665,7.90 %,0.0181
_TOTAL_,TOTAL_VOTES,31700.0,11498.0,300.0,1941.0,1221.0,1889.0,888.0,49437.0,nan,nan
