Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,220,88,1,54,7,32,12,414,0.90 %,0.002
B,SOCIALIST_ALLIANCE,72,27,0,11,2,10,2,124,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,330,106,0,52,23,94,19,624,1.36 %,0.0031
D,THE_GREENS,4674,1220,4,765,159,604,191,7617,16.64 %,0.0376
E,ANIMAL_JUSTICE_PARTY,469,127,1,58,27,67,30,779,1.70 %,0.0039
F,ADVANCE,10,4,0,2,2,2,2,22,0.05 %,0.0001
G,GROUP_G,14,3,0,3,0,3,0,23,0.05 %,0.0001
H,GROUP_H,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01 %,0.0
I,FLUX,76,31,1,6,6,14,1,135,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,8241,3177,45,904,356,763,235,13721,29.98 %,0.0678
K,LIBERAL__THE_NATIONALS,9694,3485,131,1158,727,891,205,16291,35.59 %,0.0805
L,GROUP_L,43,22,1,9,1,9,0,85,0.19 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,78,30,2,5,5,13,4,137,0.30 %,0.0007
N,KEEP_SYDNEY_OPEN,1379,305,1,281,40,259,61,2326,5.08 %,0.0115
O,LIBERAL_DEMOCRATS,610,247,1,106,39,103,30,1136,2.48 %,0.0056
P,VOLUNTARY_EUTHANASIA_PARTY,310,171,2,38,18,45,5,589,1.29 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,174,55,3,21,16,13,5,287,0.63 %,0.0014
R,THE_SMALL_BUSINESS_PARTY,200,76,1,30,19,23,8,357,0.78 %,0.0018
S,GROUP_S,42,8,0,4,0,10,1,65,0.14 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,514,287,2,87,53,51,15,1009,2.20 %,0.005
_TOTAL_,TOTAL_VOTES,28240.0,9878.0,212.0,3718.0,1530.0,3047.0,850.0,47475.0,nan,nan
