Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3869,2700,20,412,172,262,176,7611,16.60 %,0.0376
B,SOCIALIST_ALLIANCE,46,32,0,8,4,7,4,101,0.22 %,0.0005
C,SUSTAINABLE_AUSTRALIA,205,165,3,46,10,37,18,484,1.06 %,0.0024
D,THE_GREENS,624,385,10,134,30,87,44,1314,2.87 %,0.0065
E,ANIMAL_JUSTICE_PARTY,268,203,0,38,17,29,26,581,1.27 %,0.0029
F,ADVANCE,21,19,1,1,0,0,2,44,0.10 %,0.0002
G,GROUP_G,45,29,0,1,1,5,2,83,0.18 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,61,38,0,9,1,5,3,117,0.26 %,0.0006
J,LABOR__COUNTRY_LABOR,4081,3037,98,517,223,283,161,8400,18.32 %,0.0415
K,LIBERAL__THE_NATIONALS,9525,7918,201,876,691,764,205,20180,44.02 %,0.0997
L,GROUP_L,39,29,1,2,1,6,0,78,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,107,84,0,18,2,15,2,228,0.50 %,0.0011
N,KEEP_SYDNEY_OPEN,75,44,0,21,1,23,5,169,0.37 %,0.0008
O,LIBERAL_DEMOCRATS,233,147,2,20,10,24,8,444,0.97 %,0.0022
P,VOLUNTARY_EUTHANASIA_PARTY,204,141,0,23,33,26,1,428,0.93 %,0.0021
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,454,266,4,50,36,23,4,837,1.83 %,0.0041
R,THE_SMALL_BUSINESS_PARTY,111,66,0,8,10,29,6,230,0.50 %,0.0011
S,GROUP_S,8,6,1,1,1,6,0,23,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2338,1487,2,247,162,172,69,4477,9.77 %,0.0221
_TOTAL_,TOTAL_VOTES,24040.0,17915.0,363.0,2551.0,1421.0,1832.0,786.0,48908.0,nan,nan
