Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,552,161,0,103,21,68,37,942,1.88 %,0.0047
B,SOCIALIST_ALLIANCE,36,8,0,8,4,10,5,71,0.14 %,0.0004
C,SUSTAINABLE_AUSTRALIA,437,113,0,58,22,92,13,735,1.47 %,0.0036
D,THE_GREENS,2569,509,1,323,66,241,97,3806,7.60 %,0.0188
E,ANIMAL_JUSTICE_PARTY,489,132,1,76,23,60,21,802,1.60 %,0.004
F,ADVANCE,11,7,0,2,0,4,1,25,0.05 %,0.0001
G,GROUP_G,25,9,0,4,2,1,1,42,0.08 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,92,18,1,5,1,6,2,125,0.25 %,0.0006
J,LABOR__COUNTRY_LABOR,6692,1987,5,733,243,500,183,10343,20.64 %,0.0511
K,LIBERAL__THE_NATIONALS,17533,4584,25,1243,767,1105,325,25582,51.05 %,0.1264
L,GROUP_L,36,5,0,7,1,3,0,52,0.10 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,99,21,0,5,2,13,0,140,0.28 %,0.0007
N,KEEP_SYDNEY_OPEN,837,195,0,129,22,128,41,1352,2.70 %,0.0067
O,LIBERAL_DEMOCRATS,764,191,1,102,37,90,35,1220,2.43 %,0.006
P,VOLUNTARY_EUTHANASIA_PARTY,266,72,0,15,21,35,4,413,0.82 %,0.002
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,687,131,0,55,27,24,17,941,1.88 %,0.0047
R,THE_SMALL_BUSINESS_PARTY,192,63,0,29,10,27,4,325,0.65 %,0.0016
S,GROUP_S,5,1,0,0,0,5,0,11,0.02 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2000,673,0,169,136,156,28,3162,6.31 %,0.0156
_TOTAL_,TOTAL_VOTES,35320.0,9277.0,36.0,3210.0,1428.0,2613.0,849.0,52733.0,nan,nan
