Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,379,48,2,58,15,55,19,576,1.18 %,0.0028
B,SOCIALIST_ALLIANCE,62,5,0,7,6,17,1,98,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,854,89,4,103,44,94,22,1210,2.49 %,0.006
D,THE_GREENS,4467,459,13,477,158,416,169,6159,12.67 %,0.0304
E,ANIMAL_JUSTICE_PARTY,444,57,3,80,19,55,13,671,1.38 %,0.0033
F,ADVANCE,11,0,1,2,0,4,0,18,0.04 %,0.0001
G,GROUP_G,26,2,0,1,2,10,2,43,0.09 %,0.0002
H,GROUP_H,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.01 %,0.0
I,FLUX,94,11,0,12,4,15,3,139,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,4518,616,58,530,241,418,165,6546,13.46 %,0.0324
K,LIBERAL__THE_NATIONALS,19209,2615,322,1653,1222,1403,382,26806,55.13 %,0.1325
L,GROUP_L,61,10,1,6,1,8,0,87,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,159,20,0,27,10,16,5,237,0.49 %,0.0012
N,KEEP_SYDNEY_OPEN,830,95,0,136,32,145,37,1275,2.62 %,0.0063
O,LIBERAL_DEMOCRATS,925,139,6,139,60,156,49,1474,3.03 %,0.0073
P,VOLUNTARY_EUTHANASIA_PARTY,418,61,25,29,45,44,8,630,1.30 %,0.0031
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,615,89,5,61,34,50,11,865,1.78 %,0.0043
R,THE_SMALL_BUSINESS_PARTY,182,19,0,36,19,40,2,298,0.61 %,0.0015
S,GROUP_S,23,5,0,1,1,11,2,43,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,983,163,8,86,90,68,22,1420,2.92 %,0.007
_TOTAL_,TOTAL_VOTES,35771.0,4647.0,479.0,3533.0,2026.0,3080.0,939.0,50475.0,nan,nan
