Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3586,3121,18,463,112,239,138,7677,16.30 %,0.0379
B,SOCIALIST_ALLIANCE,47,62,0,6,1,5,4,125,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,248,209,3,27,18,31,14,550,1.17 %,0.0027
D,THE_GREENS,925,681,8,165,43,79,51,1952,4.14 %,0.0096
E,ANIMAL_JUSTICE_PARTY,301,293,0,40,15,24,14,687,1.46 %,0.0034
F,ADVANCE,23,23,1,1,0,3,1,52,0.11 %,0.0003
G,GROUP_G,24,28,1,2,0,2,2,59,0.13 %,0.0003
H,GROUP_H,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,106,84,1,12,3,17,2,225,0.48 %,0.0011
J,LABOR__COUNTRY_LABOR,4433,3813,55,514,170,254,162,9401,19.96 %,0.0465
K,LIBERAL__THE_NATIONALS,7293,8509,136,683,480,464,133,17698,37.57 %,0.0875
L,GROUP_L,77,74,1,10,0,10,3,175,0.37 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,164,134,4,11,18,11,8,350,0.74 %,0.0017
N,KEEP_SYDNEY_OPEN,127,84,2,39,6,23,6,287,0.61 %,0.0014
O,LIBERAL_DEMOCRATS,224,216,1,21,8,23,10,503,1.07 %,0.0025
P,VOLUNTARY_EUTHANASIA_PARTY,221,236,2,35,17,37,4,552,1.17 %,0.0027
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,639,441,5,51,35,26,17,1214,2.58 %,0.006
R,THE_SMALL_BUSINESS_PARTY,182,145,2,14,5,5,9,362,0.77 %,0.0018
S,GROUP_S,20,16,1,0,0,2,1,40,0.08 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2365,2270,9,205,150,126,57,5182,11.00 %,0.0256
_TOTAL_,TOTAL_VOTES,22893.0,21880.0,260.0,2420.0,1106.0,1409.0,679.0,50647.0,nan,nan
