Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,792,243,0,114,25,88,35,1297,2.80 %,0.0064
B,SOCIALIST_ALLIANCE,86,18,0,10,2,7,7,130,0.28 %,0.0006
C,SUSTAINABLE_AUSTRALIA,247,72,0,21,11,47,13,411,0.89 %,0.002
D,THE_GREENS,1504,364,1,238,50,180,85,2422,5.22 %,0.012
E,ANIMAL_JUSTICE_PARTY,454,138,0,68,30,60,14,764,1.65 %,0.0038
F,ADVANCE,22,7,0,2,2,6,0,39,0.08 %,0.0002
G,GROUP_G,73,19,0,7,1,9,1,110,0.24 %,0.0005
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.01 %,0.0
I,FLUX,137,57,0,11,1,3,10,219,0.47 %,0.0011
J,LABOR__COUNTRY_LABOR,10453,4265,27,938,462,686,463,17294,37.30 %,0.0855
K,LIBERAL__THE_NATIONALS,10111,3694,52,742,685,572,269,16125,34.77 %,0.0797
L,GROUP_L,39,17,0,4,4,4,1,69,0.15 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,133,42,0,14,6,11,1,207,0.45 %,0.001
N,KEEP_SYDNEY_OPEN,506,144,1,84,14,115,31,895,1.93 %,0.0044
O,LIBERAL_DEMOCRATS,707,211,0,82,39,85,32,1156,2.49 %,0.0057
P,VOLUNTARY_EUTHANASIA_PARTY,154,58,0,14,16,19,3,264,0.57 %,0.0013
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1089,423,2,91,70,74,40,1789,3.86 %,0.0088
R,THE_SMALL_BUSINESS_PARTY,165,64,0,37,10,27,5,308,0.66 %,0.0015
S,GROUP_S,23,6,0,4,0,3,0,36,0.08 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1624,633,1,168,185,140,47,2798,6.03 %,0.0138
_TOTAL_,TOTAL_VOTES,31243.0,11262.0,86.0,2903.0,1642.0,2198.0,1148.0,50482.0,nan,nan
