Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,338,65,1,39,28,59,17,547,1.12 %,0.0027
B,SOCIALIST_ALLIANCE,83,21,1,7,3,10,6,131,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,398,82,0,48,33,90,15,666,1.36 %,0.0033
D,THE_GREENS,3554,583,11,417,178,373,139,5255,10.77 %,0.026
E,ANIMAL_JUSTICE_PARTY,324,69,2,48,26,64,14,547,1.12 %,0.0027
F,ADVANCE,11,5,0,1,0,4,2,23,0.05 %,0.0001
G,GROUP_G,42,13,6,3,0,5,4,73,0.15 %,0.0004
H,GROUP_H,3.0,0.0,0.0,2.0,1.0,2.0,0.0,8.0,0.02 %,0.0
I,FLUX,88,11,0,9,3,14,3,128,0.26 %,0.0006
J,LABOR__COUNTRY_LABOR,7482,1856,82,752,440,675,325,11612,23.80 %,0.0574
K,LIBERAL__THE_NATIONALS,15236,3235,338,1165,1328,1126,405,22833,46.79 %,0.1129
L,GROUP_L,46,16,0,3,2,10,4,81,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,258,71,2,25,21,22,12,411,0.84 %,0.002
N,KEEP_SYDNEY_OPEN,511,117,2,95,15,134,37,911,1.87 %,0.0045
O,LIBERAL_DEMOCRATS,964,192,25,124,46,164,39,1554,3.18 %,0.0077
P,VOLUNTARY_EUTHANASIA_PARTY,207,44,1,26,28,39,5,350,0.72 %,0.0017
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1217,288,29,113,97,101,42,1887,3.87 %,0.0093
R,THE_SMALL_BUSINESS_PARTY,143,34,0,21,11,30,10,249,0.51 %,0.0012
S,GROUP_S,19,2,0,2,2,12,2,39,0.08 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,890,217,12,98,134,89,13,1453,2.98 %,0.0072
_TOTAL_,TOTAL_VOTES,33218.0,7234.0,534.0,3125.0,2422.0,3071.0,1135.0,50739.0,nan,nan
