Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,743,360,0,162,23,120,39,1447,3.45 %,0.0072
B,SOCIALIST_ALLIANCE,115,70,0,13,0,16,8,222,0.53 %,0.0011
C,SUSTAINABLE_AUSTRALIA,189,101,0,49,8,91,22,460,1.10 %,0.0023
D,THE_GREENS,1292,488,1,254,51,275,83,2444,5.82 %,0.0121
E,ANIMAL_JUSTICE_PARTY,308,139,1,73,6,86,23,636,1.51 %,0.0031
F,ADVANCE,46,37,0,9,1,8,0,101,0.24 %,0.0005
G,GROUP_G,87,93,0,13,1,14,6,214,0.51 %,0.0011
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.01 %,0.0
I,FLUX,218,168,0,15,2,11,7,421,1.00 %,0.0021
J,LABOR__COUNTRY_LABOR,10407,6678,20,1617,352,1062,532,20668,49.22 %,0.1022
K,LIBERAL__THE_NATIONALS,4704,2574,19,779,260,478,162,8976,21.37 %,0.0444
L,GROUP_L,62,49,0,8,0,6,4,129,0.31 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,131,68,1,15,7,14,6,242,0.58 %,0.0012
N,KEEP_SYDNEY_OPEN,292,141,0,75,10,126,22,666,1.59 %,0.0033
O,LIBERAL_DEMOCRATS,678,365,2,104,25,104,32,1310,3.12 %,0.0065
P,VOLUNTARY_EUTHANASIA_PARTY,97,59,0,15,5,38,3,217,0.52 %,0.0011
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,798,536,1,140,36,95,52,1658,3.95 %,0.0082
R,THE_SMALL_BUSINESS_PARTY,138,74,0,37,9,37,7,302,0.72 %,0.0015
S,GROUP_S,13,14,0,5,0,9,0,41,0.10 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,995,400,1,171,98,133,32,1830,4.36 %,0.009
_TOTAL_,TOTAL_VOTES,24385.0,14152.0,49.0,3916.0,915.0,2788.0,1168.0,47373.0,nan,nan
