Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1115,402,6,199,26,62,44,1854,3.89 %,0.0092
B,SOCIALIST_ALLIANCE,63,32,0,20,4,10,5,134,0.28 %,0.0007
C,SUSTAINABLE_AUSTRALIA,544,194,4,85,22,63,17,929,1.95 %,0.0046
D,THE_GREENS,2606,832,10,435,59,234,131,4307,9.04 %,0.0213
E,ANIMAL_JUSTICE_PARTY,857,275,12,118,24,64,37,1387,2.91 %,0.0069
F,ADVANCE,22,11,0,0,1,3,1,38,0.08 %,0.0002
G,GROUP_G,27,13,1,5,1,5,1,53,0.11 %,0.0003
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,101,44,1,14,3,11,2,176,0.37 %,0.0009
J,LABOR__COUNTRY_LABOR,9212,4824,151,988,295,557,260,16287,34.20 %,0.0805
K,LIBERAL__THE_NATIONALS,8585,4312,152,872,388,466,168,14943,31.37 %,0.0739
L,GROUP_L,51,30,2,3,2,6,1,95,0.20 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,155,68,0,9,7,13,3,255,0.54 %,0.0013
N,KEEP_SYDNEY_OPEN,409,97,3,71,15,55,18,668,1.40 %,0.0033
O,LIBERAL_DEMOCRATS,587,274,4,81,24,61,17,1048,2.20 %,0.0052
P,VOLUNTARY_EUTHANASIA_PARTY,338,142,6,28,29,32,9,584,1.23 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,562,219,4,60,18,31,12,906,1.90 %,0.0045
R,THE_SMALL_BUSINESS_PARTY,150,44,0,24,7,19,6,250,0.52 %,0.0012
S,GROUP_S,14,6,0,2,0,4,2,28,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2107,1001,12,244,133,126,55,3678,7.72 %,0.0182
_TOTAL_,TOTAL_VOTES,29695.0,13642.0,404.0,3441.0,1077.0,1854.0,840.0,50953.0,nan,nan
