Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2662,1295,3,290,125,213,141,4729,9.41 %,0.0234
B,SOCIALIST_ALLIANCE,50,19,1,7,5,14,3,99,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,355,113,1,34,25,48,14,590,1.17 %,0.0029
D,THE_GREENS,2352,643,3,282,122,219,126,3747,7.45 %,0.0185
E,ANIMAL_JUSTICE_PARTY,556,233,3,67,38,77,32,1006,2.00 %,0.005
F,ADVANCE,17,7,0,0,2,3,1,30,0.06 %,0.0001
G,GROUP_G,27,23,0,1,0,6,2,59,0.12 %,0.0003
H,GROUP_H,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.01 %,0.0
I,FLUX,70,42,1,3,3,8,2,129,0.26 %,0.0006
J,LABOR__COUNTRY_LABOR,7502,4234,89,556,347,518,247,13493,26.84 %,0.0667
K,LIBERAL__THE_NATIONALS,10002,4826,93,904,763,671,247,17506,34.83 %,0.0865
L,GROUP_L,71,28,0,6,2,7,4,118,0.23 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,129,50,0,15,5,16,5,220,0.44 %,0.0011
N,KEEP_SYDNEY_OPEN,144,54,0,31,4,26,13,272,0.54 %,0.0013
O,LIBERAL_DEMOCRATS,468,233,3,58,24,50,23,859,1.71 %,0.0042
P,VOLUNTARY_EUTHANASIA_PARTY,394,195,0,34,38,49,9,719,1.43 %,0.0036
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,513,196,2,47,35,32,13,838,1.67 %,0.0041
R,THE_SMALL_BUSINESS_PARTY,180,67,0,13,9,13,9,291,0.58 %,0.0014
S,GROUP_S,14,5,0,2,0,4,0,25,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3037,1686,9,259,193,219,97,5500,10.94 %,0.0272
_TOTAL_,TOTAL_VOTES,30430.0,14566.0,216.0,2745.0,1768.0,2224.0,1032.0,52981.0,nan,nan
