Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,658,265,0,98,27,98,35,1181,2.80 %,0.0058
B,SOCIALIST_ALLIANCE,104,36,0,20,7,21,6,194,0.46 %,0.001
C,SUSTAINABLE_AUSTRALIA,170,54,0,33,14,64,8,343,0.81 %,0.0017
D,THE_GREENS,1261,306,0,252,51,208,73,2151,5.11 %,0.0106
E,ANIMAL_JUSTICE_PARTY,383,104,0,75,19,75,17,673,1.60 %,0.0033
F,ADVANCE,28,6,0,2,0,10,2,48,0.11 %,0.0002
G,GROUP_G,55,14,0,5,7,17,4,102,0.24 %,0.0005
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,157,54,1,17,1,14,6,250,0.59 %,0.0012
J,LABOR__COUNTRY_LABOR,11005,3783,4,1254,575,882,489,17992,42.73 %,0.0889
K,LIBERAL__THE_NATIONALS,8008,3143,2,835,568,619,219,13394,31.81 %,0.0662
L,GROUP_L,42,15,0,9,1,9,0,76,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,121,46,0,26,7,22,3,225,0.53 %,0.0011
N,KEEP_SYDNEY_OPEN,289,89,0,62,10,98,18,566,1.34 %,0.0028
O,LIBERAL_DEMOCRATS,661,204,0,112,40,148,37,1202,2.85 %,0.0059
P,VOLUNTARY_EUTHANASIA_PARTY,86,29,0,14,8,26,3,166,0.39 %,0.0008
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,859,288,0,126,53,91,22,1439,3.42 %,0.0071
R,THE_SMALL_BUSINESS_PARTY,108,47,0,32,12,34,4,237,0.56 %,0.0012
S,GROUP_S,22,5,0,4,0,9,0,40,0.10 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,905,436,0,134,167,130,40,1812,4.30 %,0.009
_TOTAL_,TOTAL_VOTES,28201.0,9935.0,7.0,3384.0,1594.0,2658.0,1086.0,46865.0,nan,nan
