Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2337,638,0,271,85,170,106,3607,7.48 %,0.0178
B,SOCIALIST_ALLIANCE,64,14,0,7,1,6,3,95,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,457,98,0,65,33,60,22,735,1.52 %,0.0036
D,THE_GREENS,2035,406,0,290,58,156,116,3061,6.35 %,0.0151
E,ANIMAL_JUSTICE_PARTY,732,154,1,108,42,69,39,1145,2.38 %,0.0057
F,ADVANCE,18,5,0,1,1,4,2,31,0.06 %,0.0002
G,GROUP_G,32,10,0,5,2,3,1,53,0.11 %,0.0003
H,GROUP_H,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01 %,0.0
I,FLUX,63,20,0,6,0,3,6,98,0.20 %,0.0005
J,LABOR__COUNTRY_LABOR,5607,1662,5,592,288,323,198,8675,18.00 %,0.0429
K,LIBERAL__THE_NATIONALS,14468,3167,12,1176,700,826,373,20722,42.99 %,0.1024
L,GROUP_L,51,15,0,7,4,6,0,83,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,184,39,0,12,9,10,13,267,0.55 %,0.0013
N,KEEP_SYDNEY_OPEN,417,66,0,86,9,61,34,673,1.40 %,0.0033
O,LIBERAL_DEMOCRATS,914,209,0,122,61,97,48,1451,3.01 %,0.0072
P,VOLUNTARY_EUTHANASIA_PARTY,313,83,1,34,23,38,8,500,1.04 %,0.0025
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,813,165,0,58,39,37,21,1133,2.35 %,0.0056
R,THE_SMALL_BUSINESS_PARTY,216,48,0,24,7,33,8,336,0.70 %,0.0017
S,GROUP_S,12,3,0,2,0,4,1,22,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3524,1003,1,336,267,240,116,5487,11.38 %,0.0271
_TOTAL_,TOTAL_VOTES,34459.0,8383.0,22.0,3364.0,1650.0,2184.0,1171.0,51233.0,nan,nan
