Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,938,215,0,149,37,67,37,1443,2.85 %,0.0071
B,SOCIALIST_ALLIANCE,72,17,1,16,3,18,4,131,0.26 %,0.0006
C,SUSTAINABLE_AUSTRALIA,302,73,0,44,9,66,15,509,1.01 %,0.0025
D,THE_GREENS,2872,499,3,486,93,242,122,4317,8.53 %,0.0213
E,ANIMAL_JUSTICE_PARTY,836,149,0,88,31,82,42,1228,2.43 %,0.0061
F,ADVANCE,6,2,0,0,0,3,1,12,0.02 %,0.0001
G,GROUP_G,20,16,0,2,1,3,3,45,0.09 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,140,24,0,7,5,10,4,190,0.38 %,0.0009
J,LABOR__COUNTRY_LABOR,10048,2515,72,888,340,593,324,14780,29.20 %,0.0731
K,LIBERAL__THE_NATIONALS,13701,3316,112,1031,700,739,265,19864,39.25 %,0.0982
L,GROUP_L,66,6,0,4,1,5,0,82,0.16 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,150,32,0,14,6,17,4,223,0.44 %,0.0011
N,KEEP_SYDNEY_OPEN,575,112,0,107,11,86,33,924,1.83 %,0.0046
O,LIBERAL_DEMOCRATS,747,171,0,95,27,72,20,1132,2.24 %,0.0056
P,VOLUNTARY_EUTHANASIA_PARTY,278,83,0,24,17,38,4,444,0.88 %,0.0022
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,980,239,7,89,54,38,30,1437,2.84 %,0.0071
R,THE_SMALL_BUSINESS_PARTY,173,41,0,16,7,25,2,264,0.52 %,0.0013
S,GROUP_S,19,4,0,3,0,4,0,30,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2265,611,1,219,190,188,54,3528,6.97 %,0.0174
_TOTAL_,TOTAL_VOTES,36110.0,8467.0,202.0,3411.0,1559.0,2337.0,1008.0,53094.0,nan,nan
