Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,381,57,1,104,5,62,25,635,1.28 %,0.0031
B,SOCIALIST_ALLIANCE,135,14,0,31,1,27,7,215,0.43 %,0.0011
C,SUSTAINABLE_AUSTRALIA,264,49,0,86,10,129,20,558,1.13 %,0.0028
D,THE_GREENS,5799,872,0,1456,137,1035,428,9727,19.65 %,0.0481
E,ANIMAL_JUSTICE_PARTY,701,129,0,167,38,152,63,1250,2.53 %,0.0062
F,ADVANCE,17,2,0,1,2,8,2,32,0.06 %,0.0002
G,GROUP_G,37,3,0,8,1,7,4,60,0.12 %,0.0003
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.01 %,0.0
I,FLUX,123,18,0,20,1,20,9,191,0.39 %,0.0009
J,LABOR__COUNTRY_LABOR,10641,1904,5,2238,364,1320,490,16962,34.27 %,0.0838
K,LIBERAL__THE_NATIONALS,7652,1256,1,1781,315,1032,347,12384,25.02 %,0.0612
L,GROUP_L,52,10,0,9,2,7,0,80,0.16 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,117,15,0,39,6,18,11,206,0.42 %,0.001
N,KEEP_SYDNEY_OPEN,1703,267,0,483,73,508,156,3190,6.45 %,0.0158
O,LIBERAL_DEMOCRATS,650,119,1,177,14,197,50,1208,2.44 %,0.006
P,VOLUNTARY_EUTHANASIA_PARTY,215,60,0,67,13,75,8,438,0.88 %,0.0022
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,322,60,0,76,21,54,10,543,1.10 %,0.0027
R,THE_SMALL_BUSINESS_PARTY,239,58,0,55,12,52,20,436,0.88 %,0.0022
S,GROUP_S,31,5,0,5,3,14,0,58,0.12 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,758,133,0,185,60,116,15,1267,2.56 %,0.0063
_TOTAL_,TOTAL_VOTES,31841.0,5256.0,9.0,7254.0,1089.0,4928.0,1746.0,52123.0,nan,nan
