Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,970,192,0,182,37,139,61,1581,3.40 %,0.0078
B,SOCIALIST_ALLIANCE,93,20,0,16,2,14,5,150,0.32 %,0.0007
C,SUSTAINABLE_AUSTRALIA,219,54,0,35,12,54,11,385,0.83 %,0.0019
D,THE_GREENS,1342,242,3,235,47,193,81,2143,4.61 %,0.0106
E,ANIMAL_JUSTICE_PARTY,729,118,1,112,24,109,53,1146,2.47 %,0.0057
F,ADVANCE,23,10,0,5,0,12,1,51,0.11 %,0.0003
G,GROUP_G,48,16,0,10,0,11,3,88,0.19 %,0.0004
H,GROUP_H,3.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,0.02 %,0.0
I,FLUX,124,18,0,11,1,8,6,168,0.36 %,0.0008
J,LABOR__COUNTRY_LABOR,10686,2570,40,1289,425,843,455,16308,35.11 %,0.0806
K,LIBERAL__THE_NATIONALS,11419,2144,26,1194,531,858,258,16430,35.37 %,0.0812
L,GROUP_L,33,13,0,7,0,5,1,59,0.13 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,171,34,0,25,6,24,8,268,0.58 %,0.0013
N,KEEP_SYDNEY_OPEN,442,73,1,90,15,86,30,737,1.59 %,0.0036
O,LIBERAL_DEMOCRATS,727,171,12,109,37,115,31,1202,2.59 %,0.0059
P,VOLUNTARY_EUTHANASIA_PARTY,132,29,0,22,17,36,7,243,0.52 %,0.0012
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,910,180,3,133,50,75,36,1387,2.99 %,0.0069
R,THE_SMALL_BUSINESS_PARTY,145,57,0,38,4,39,13,296,0.64 %,0.0015
S,GROUP_S,17,2,0,1,1,10,2,33,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2395,569,5,297,182,247,57,3752,8.08 %,0.0185
_TOTAL_,TOTAL_VOTES,34076.0,7160.0,95.0,4112.0,1426.0,2945.0,1216.0,51030.0,nan,nan
