Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,634,148,0,100,24,78,29,1013,2.05 %,0.005
B,SOCIALIST_ALLIANCE,105,17,0,13,1,7,3,146,0.30 %,0.0007
C,SUSTAINABLE_AUSTRALIA,654,88,1,84,37,87,14,965,1.96 %,0.0048
D,THE_GREENS,4891,828,6,504,148,390,179,6946,14.09 %,0.0343
E,ANIMAL_JUSTICE_PARTY,506,94,3,57,30,53,25,768,1.56 %,0.0038
F,ADVANCE,14,9,0,4,4,8,0,39,0.08 %,0.0002
G,GROUP_G,36,5,0,5,3,2,1,52,0.11 %,0.0003
H,GROUP_H,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.01 %,0.0
I,FLUX,96,18,0,8,6,9,3,140,0.28 %,0.0007
J,LABOR__COUNTRY_LABOR,6730,1492,16,681,314,516,236,9985,20.25 %,0.0494
K,LIBERAL__THE_NATIONALS,14946,3031,34,1263,807,918,373,21372,43.35 %,0.1056
L,GROUP_L,62,18,0,4,3,6,0,93,0.19 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,382,88,0,36,16,28,12,562,1.14 %,0.0028
N,KEEP_SYDNEY_OPEN,632,109,2,111,19,96,36,1005,2.04 %,0.005
O,LIBERAL_DEMOCRATS,874,152,2,123,48,120,36,1355,2.75 %,0.0067
P,VOLUNTARY_EUTHANASIA_PARTY,343,65,1,44,39,42,6,540,1.10 %,0.0027
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,939,147,1,92,64,55,27,1325,2.69 %,0.0065
R,THE_SMALL_BUSINESS_PARTY,160,36,0,19,5,33,5,258,0.52 %,0.0013
S,GROUP_S,54,4,0,4,0,5,0,67,0.14 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,1689,531,3,129,146,106,34,2638,5.35 %,0.013
_TOTAL_,TOTAL_VOTES,35416.0,7282.0,70.0,3403.0,1732.0,2593.0,1058.0,51554.0,nan,nan
