Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1131,369,0,186,48,107,52,1893,3.72 %,0.0094
B,SOCIALIST_ALLIANCE,123,28,0,14,2,14,6,187,0.37 %,0.0009
C,SUSTAINABLE_AUSTRALIA,633,171,3,73,32,80,24,1016,1.99 %,0.005
D,THE_GREENS,5269,1454,5,544,103,389,226,7990,15.69 %,0.0395
E,ANIMAL_JUSTICE_PARTY,568,167,2,66,21,66,23,913,1.79 %,0.0045
F,ADVANCE,23,5,0,4,1,6,0,39,0.08 %,0.0002
G,GROUP_G,63,15,0,3,0,10,1,92,0.18 %,0.0005
H,GROUP_H,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,116,31,1,11,2,8,4,173,0.34 %,0.0009
J,LABOR__COUNTRY_LABOR,12372,4147,75,1109,534,755,324,19316,37.92 %,0.0955
K,LIBERAL__THE_NATIONALS,7852,2393,53,659,345,506,121,11929,23.42 %,0.059
L,GROUP_L,63,14,0,1,2,8,2,90,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,129,28,0,11,11,16,3,198,0.39 %,0.001
N,KEEP_SYDNEY_OPEN,434,116,0,85,7,64,24,730,1.43 %,0.0036
O,LIBERAL_DEMOCRATS,631,211,2,64,27,55,20,1010,1.98 %,0.005
P,VOLUNTARY_EUTHANASIA_PARTY,358,123,0,48,28,39,8,604,1.19 %,0.003
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,858,248,1,80,45,39,19,1290,2.53 %,0.0064
R,THE_SMALL_BUSINESS_PARTY,214,51,0,16,9,29,8,327,0.64 %,0.0016
S,GROUP_S,13,1,0,1,4,5,0,24,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1863,695,3,213,124,151,49,3098,6.08 %,0.0153
_TOTAL_,TOTAL_VOTES,34887.0,10783.0,148.0,3309.0,1375.0,2375.0,972.0,53849.0,nan,nan
