Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1225,773,4,211,39,116,59,2427,5.07 %,0.012
B,SOCIALIST_ALLIANCE,47,24,0,5,4,8,3,91,0.19 %,0.0004
C,SUSTAINABLE_AUSTRALIA,335,171,2,87,37,61,18,711,1.49 %,0.0035
D,THE_GREENS,3063,1372,4,445,104,241,113,5342,11.16 %,0.0264
E,ANIMAL_JUSTICE_PARTY,379,206,2,75,21,63,20,766,1.60 %,0.0038
F,ADVANCE,22,8,0,2,2,3,1,38,0.08 %,0.0002
G,GROUP_G,16,22,1,5,0,2,0,46,0.10 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,71,58,0,7,4,2,2,144,0.30 %,0.0007
J,LABOR__COUNTRY_LABOR,6424,4499,39,954,310,532,199,12957,27.07 %,0.064
K,LIBERAL__THE_NATIONALS,8915,6019,38,856,628,547,144,17147,35.82 %,0.0847
L,GROUP_L,66,35,0,7,2,5,1,116,0.24 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,82,63,1,15,3,10,3,177,0.37 %,0.0009
N,KEEP_SYDNEY_OPEN,200,88,0,73,3,36,11,411,0.86 %,0.002
O,LIBERAL_DEMOCRATS,423,278,3,71,26,60,15,876,1.83 %,0.0043
P,VOLUNTARY_EUTHANASIA_PARTY,329,141,1,34,35,52,3,595,1.24 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1064,720,9,87,71,45,17,2013,4.21 %,0.0099
R,THE_SMALL_BUSINESS_PARTY,138,71,0,31,5,21,7,273,0.57 %,0.0013
S,GROUP_S,11,3,0,2,1,1,0,18,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1778,1254,7,313,140,164,54,3710,7.75 %,0.0183
_TOTAL_,TOTAL_VOTES,26325.0,16706.0,116.0,3456.0,1459.0,2015.0,722.0,50799.0,nan,nan
