Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,670,156,1,94,8,72,36,1037,2.35 %,0.0051
B,SOCIALIST_ALLIANCE,98,22,0,17,2,16,8,163,0.37 %,0.0008
C,SUSTAINABLE_AUSTRALIA,249,66,1,47,9,74,11,457,1.04 %,0.0023
D,THE_GREENS,1824,411,6,287,50,267,110,2955,6.70 %,0.0146
E,ANIMAL_JUSTICE_PARTY,406,88,2,71,13,68,23,671,1.52 %,0.0033
F,ADVANCE,25,6,0,4,1,7,2,45,0.10 %,0.0002
G,GROUP_G,82,20,0,1,1,10,1,115,0.26 %,0.0006
H,GROUP_H,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,147,36,1,8,2,8,2,204,0.46 %,0.001
J,LABOR__COUNTRY_LABOR,11050,2935,38,996,301,821,368,16509,37.44 %,0.0816
K,LIBERAL__THE_NATIONALS,9919,3392,52,806,348,753,319,15589,35.36 %,0.077
L,GROUP_L,49,14,0,8,0,12,1,84,0.19 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,155,40,0,18,6,19,7,245,0.56 %,0.0012
N,KEEP_SYDNEY_OPEN,567,106,0,111,7,122,33,946,2.15 %,0.0047
O,LIBERAL_DEMOCRATS,641,186,2,97,23,135,28,1112,2.52 %,0.0055
P,VOLUNTARY_EUTHANASIA_PARTY,132,32,1,21,12,30,2,230,0.52 %,0.0011
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,815,218,4,70,29,74,27,1237,2.81 %,0.0061
R,THE_SMALL_BUSINESS_PARTY,224,68,0,35,5,46,6,384,0.87 %,0.0019
S,GROUP_S,19,8,0,1,1,16,0,45,0.10 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1359,325,6,142,96,82,29,2039,4.62 %,0.0101
_TOTAL_,TOTAL_VOTES,31407.0,8860.0,115.0,3022.0,923.0,2699.0,1096.0,48122.0,nan,nan
