Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,305,67,1,62,19,43,25,522,1.08 %,0.0026
B,SOCIALIST_ALLIANCE,71,10,0,14,0,16,3,114,0.24 %,0.0006
C,SUSTAINABLE_AUSTRALIA,809,151,5,73,48,106,34,1226,2.53 %,0.0061
D,THE_GREENS,4273,694,10,549,154,447,216,6343,13.11 %,0.0314
E,ANIMAL_JUSTICE_PARTY,394,62,7,67,27,52,24,633,1.31 %,0.0031
F,ADVANCE,17,1,0,2,0,3,2,25,0.05 %,0.0001
G,GROUP_G,42,9,33,7,5,7,0,103,0.21 %,0.0005
H,GROUP_H,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.01 %,0.0
I,FLUX,108,17,0,19,7,13,8,172,0.36 %,0.0009
J,LABOR__COUNTRY_LABOR,5070,1074,68,664,310,452,259,7897,16.32 %,0.039
K,LIBERAL__THE_NATIONALS,16926,3071,472,1704,1220,1268,477,25138,51.95 %,0.1242
L,GROUP_L,47,5,0,10,4,9,0,75,0.16 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,226,48,1,32,21,36,11,375,0.78 %,0.0019
N,KEEP_SYDNEY_OPEN,602,99,0,161,24,133,68,1087,2.25 %,0.0054
O,LIBERAL_DEMOCRATS,774,166,6,133,62,127,42,1310,2.71 %,0.0065
P,VOLUNTARY_EUTHANASIA_PARTY,324,61,10,33,41,43,5,517,1.07 %,0.0026
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,705,141,5,92,52,39,18,1052,2.17 %,0.0052
R,THE_SMALL_BUSINESS_PARTY,148,61,0,26,11,40,9,295,0.61 %,0.0015
S,GROUP_S,34,7,0,2,2,6,0,51,0.11 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,881,231,11,99,91,72,25,1410,2.91 %,0.007
_TOTAL_,TOTAL_VOTES,33087.0,6241.0,645.0,3878.0,2134.0,2975.0,1267.0,50227.0,nan,nan
