Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1870,575,2,329,57,102,84,3019,6.19 %,0.0149
B,SOCIALIST_ALLIANCE,85,12,0,17,5,13,7,139,0.28 %,0.0007
C,SUSTAINABLE_AUSTRALIA,494,156,2,71,31,61,23,838,1.72 %,0.0041
D,THE_GREENS,2233,614,9,359,73,158,109,3555,7.29 %,0.0176
E,ANIMAL_JUSTICE_PARTY,972,224,9,145,52,57,50,1509,3.09 %,0.0075
F,ADVANCE,26,4,0,6,0,2,2,40,0.08 %,0.0002
G,GROUP_G,49,17,0,8,1,7,2,84,0.17 %,0.0004
H,GROUP_H,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01 %,0.0
I,FLUX,116,32,1,5,4,3,3,164,0.34 %,0.0008
J,LABOR__COUNTRY_LABOR,9999,3108,66,1251,540,403,308,15675,32.14 %,0.0775
K,LIBERAL__THE_NATIONALS,7254,3742,84,896,657,363,156,13152,26.96 %,0.065
L,GROUP_L,61,25,2,8,3,5,1,105,0.22 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,386,229,2,26,20,11,17,691,1.42 %,0.0034
N,KEEP_SYDNEY_OPEN,229,30,1,49,9,18,20,356,0.73 %,0.0018
O,LIBERAL_DEMOCRATS,634,247,15,72,46,37,13,1064,2.18 %,0.0053
P,VOLUNTARY_EUTHANASIA_PARTY,496,241,4,61,71,46,6,925,1.90 %,0.0046
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,661,321,12,83,72,21,25,1195,2.45 %,0.0059
R,THE_SMALL_BUSINESS_PARTY,306,92,0,44,19,21,17,499,1.02 %,0.0025
S,GROUP_S,11,6,0,0,5,3,1,26,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3528,1247,9,462,201,170,82,5699,11.68 %,0.0282
_TOTAL_,TOTAL_VOTES,31876.0,11591.0,227.0,4140.0,1910.0,1527.0,994.0,52265.0,nan,nan
