Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,785,147,0,162,11,100,51,1256,2.95 %,0.0062
B,SOCIALIST_ALLIANCE,115,19,0,18,0,15,5,172,0.40 %,0.0009
C,SUSTAINABLE_AUSTRALIA,166,44,0,43,5,72,5,335,0.79 %,0.0017
D,THE_GREENS,1443,314,3,257,36,232,101,2386,5.60 %,0.0118
E,ANIMAL_JUSTICE_PARTY,364,66,0,77,11,75,21,614,1.44 %,0.003
F,ADVANCE,36,8,0,8,0,2,7,61,0.14 %,0.0003
G,GROUP_G,123,30,0,12,2,11,6,184,0.43 %,0.0009
H,GROUP_H,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.01 %,0.0
I,FLUX,237,61,0,25,2,3,13,341,0.80 %,0.0017
J,LABOR__COUNTRY_LABOR,13920,4023,27,1765,400,991,702,21828,51.19 %,0.1079
K,LIBERAL__THE_NATIONALS,5941,1599,24,897,272,478,231,9442,22.14 %,0.0467
L,GROUP_L,63,12,0,7,0,1,4,87,0.20 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,187,37,0,22,4,15,3,268,0.63 %,0.0013
N,KEEP_SYDNEY_OPEN,375,79,0,88,12,89,25,668,1.57 %,0.0033
O,LIBERAL_DEMOCRATS,663,162,1,145,52,99,33,1155,2.71 %,0.0057
P,VOLUNTARY_EUTHANASIA_PARTY,91,31,0,22,7,29,8,188,0.44 %,0.0009
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1211,306,0,172,49,98,46,1882,4.41 %,0.0093
R,THE_SMALL_BUSINESS_PARTY,147,44,0,47,7,36,9,290,0.68 %,0.0014
S,GROUP_S,16,4,0,10,0,8,2,40,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,832,228,0,149,113,84,23,1429,3.35 %,0.0071
_TOTAL_,TOTAL_VOTES,30903.0,7980.0,61.0,4359.0,1007.0,2528.0,1439.0,48277.0,nan,nan
