Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,379,85,2,75,17,66,30,654,1.30 %,0.0032
B,SOCIALIST_ALLIANCE,104,10,1,9,2,12,7,145,0.29 %,0.0007
C,SUSTAINABLE_AUSTRALIA,602,102,2,87,46,117,27,983,1.96 %,0.0049
D,THE_GREENS,4487,636,15,621,145,518,230,6652,13.24 %,0.0329
E,ANIMAL_JUSTICE_PARTY,408,60,0,65,37,77,40,687,1.37 %,0.0034
F,ADVANCE,20,3,0,1,1,5,1,31,0.06 %,0.0002
G,GROUP_G,38,9,2,3,3,14,1,70,0.14 %,0.0003
H,GROUP_H,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.01 %,0.0
I,FLUX,115,11,2,11,3,10,8,160,0.32 %,0.0008
J,LABOR__COUNTRY_LABOR,6856,1278,77,803,434,622,292,10362,20.62 %,0.0512
K,LIBERAL__THE_NATIONALS,16155,2712,193,1652,1122,1328,478,23640,47.05 %,0.1168
L,GROUP_L,92,17,1,11,7,8,1,137,0.27 %,0.0007
M,AUSTRALIAN_CONSERVATIVES_NSW,148,34,0,22,14,23,4,245,0.49 %,0.0012
N,KEEP_SYDNEY_OPEN,1008,130,0,200,28,171,69,1606,3.20 %,0.0079
O,LIBERAL_DEMOCRATS,946,126,5,137,60,171,38,1483,2.95 %,0.0073
P,VOLUNTARY_EUTHANASIA_PARTY,380,59,3,38,39,66,6,591,1.18 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,504,94,4,76,35,55,13,781,1.55 %,0.0039
R,THE_SMALL_BUSINESS_PARTY,238,35,1,32,12,46,14,378,0.75 %,0.0019
S,GROUP_S,32,4,1,8,1,10,2,58,0.12 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,985,198,2,106,114,110,27,1542,3.07 %,0.0076
_TOTAL_,TOTAL_VOTES,35219.0,5800.0,326.0,4123.0,2151.0,3489.0,1359.0,52467.0,nan,nan
