Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1422,833,3,201,59,111,52,2681,5.64 %,0.0133
B,SOCIALIST_ALLIANCE,87,36,1,9,5,6,4,148,0.31 %,0.0007
C,SUSTAINABLE_AUSTRALIA,353,177,2,56,16,54,14,672,1.41 %,0.0033
D,THE_GREENS,6451,2744,10,625,202,363,297,10692,22.51 %,0.0528
E,ANIMAL_JUSTICE_PARTY,556,211,6,69,32,48,32,954,2.01 %,0.0047
F,ADVANCE,10,6,0,1,0,1,0,18,0.04 %,0.0001
G,GROUP_G,22,13,0,2,1,4,2,44,0.09 %,0.0002
H,GROUP_H,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,58,34,0,3,5,5,3,108,0.23 %,0.0005
J,LABOR__COUNTRY_LABOR,6248,3574,69,631,328,345,205,11400,24.00 %,0.0563
K,LIBERAL__THE_NATIONALS,7689,5552,126,722,625,416,142,15272,32.15 %,0.0755
L,GROUP_L,151,52,0,13,9,9,4,238,0.50 %,0.0012
M,AUSTRALIAN_CONSERVATIVES_NSW,137,71,2,20,16,14,7,267,0.56 %,0.0013
N,KEEP_SYDNEY_OPEN,58,23,0,21,5,8,3,118,0.25 %,0.0006
O,LIBERAL_DEMOCRATS,151,105,1,23,16,14,5,315,0.66 %,0.0016
P,VOLUNTARY_EUTHANASIA_PARTY,192,100,0,25,19,34,5,375,0.79 %,0.0019
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,431,244,1,49,54,22,12,813,1.71 %,0.004
R,THE_SMALL_BUSINESS_PARTY,144,71,0,17,8,15,3,258,0.54 %,0.0013
S,GROUP_S,11,3,0,0,0,1,0,15,0.03 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1613,1002,4,215,135,95,48,3112,6.55 %,0.0154
_TOTAL_,TOTAL_VOTES,27285.0,15541.0,248.0,2817.0,1564.0,1589.0,873.0,49917.0,nan,nan
