Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,964,287,0,197,21,151,60,1680,3.78 %,0.0083
B,SOCIALIST_ALLIANCE,128,51,0,19,2,22,12,234,0.53 %,0.0012
C,SUSTAINABLE_AUSTRALIA,234,85,0,40,3,62,21,445,1.00 %,0.0022
D,THE_GREENS,1466,333,0,227,26,179,99,2330,5.24 %,0.0115
E,ANIMAL_JUSTICE_PARTY,493,157,0,72,16,111,37,886,1.99 %,0.0044
F,ADVANCE,58,22,0,9,0,10,2,101,0.23 %,0.0005
G,GROUP_G,94,49,0,10,2,12,2,169,0.38 %,0.0008
H,GROUP_H,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.01 %,0.0
I,FLUX,178,69,0,22,1,14,12,296,0.67 %,0.0015
J,LABOR__COUNTRY_LABOR,13271,4256,0,1576,323,966,629,21021,47.26 %,0.1039
K,LIBERAL__THE_NATIONALS,6264,1951,0,714,225,416,234,9804,22.04 %,0.0485
L,GROUP_L,49,33,0,12,1,15,1,111,0.25 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,320,70,0,28,4,30,17,469,1.05 %,0.0023
N,KEEP_SYDNEY_OPEN,478,110,0,90,11,124,33,846,1.90 %,0.0042
O,LIBERAL_DEMOCRATS,754,256,0,116,16,88,49,1279,2.88 %,0.0063
P,VOLUNTARY_EUTHANASIA_PARTY,114,58,0,11,10,37,6,236,0.53 %,0.0012
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,835,265,0,85,25,61,46,1317,2.96 %,0.0065
R,THE_SMALL_BUSINESS_PARTY,190,57,0,42,5,44,11,349,0.78 %,0.0017
S,GROUP_S,19,11,0,4,1,18,1,54,0.12 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,1638,553,0,222,126,221,76,2836,6.38 %,0.014
_TOTAL_,TOTAL_VOTES,31665.0,9840.0,0.0,3859.0,832.0,2638.0,1510.0,50344.0,nan,nan
