Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1744,463,2,294,45,179,95,2822,5.50 %,0.0139
B,SOCIALIST_ALLIANCE,93,32,0,21,1,17,7,171,0.33 %,0.0008
C,SUSTAINABLE_AUSTRALIA,459,119,1,74,17,90,25,785,1.53 %,0.0039
D,THE_GREENS,1286,318,1,257,28,137,116,2143,4.17 %,0.0106
E,ANIMAL_JUSTICE_PARTY,607,193,0,106,24,94,49,1073,2.09 %,0.0053
F,ADVANCE,22,11,0,8,1,8,3,53,0.10 %,0.0003
G,GROUP_G,53,14,0,6,1,6,6,86,0.17 %,0.0004
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,151,59,0,13,1,12,5,241,0.47 %,0.0012
J,LABOR__COUNTRY_LABOR,12278,3798,18,1767,352,815,542,19570,38.11 %,0.0967
K,LIBERAL__THE_NATIONALS,9738,2461,4,1142,348,563,351,14607,28.44 %,0.0722
L,GROUP_L,54,21,0,7,0,9,3,94,0.18 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,172,65,0,34,3,15,5,294,0.57 %,0.0015
N,KEEP_SYDNEY_OPEN,398,78,0,91,7,52,36,662,1.29 %,0.0033
O,LIBERAL_DEMOCRATS,743,215,1,126,23,96,38,1242,2.42 %,0.0061
P,VOLUNTARY_EUTHANASIA_PARTY,210,62,0,19,15,47,4,357,0.70 %,0.0018
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,779,279,0,141,36,61,31,1327,2.58 %,0.0066
R,THE_SMALL_BUSINESS_PARTY,175,36,0,38,4,37,7,297,0.58 %,0.0015
S,GROUP_S,19,7,0,2,0,15,1,44,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,3398,978,0,452,190,308,143,5469,10.65 %,0.027
_TOTAL_,TOTAL_VOTES,35890.0,9909.0,28.0,4973.0,1125.0,2611.0,1600.0,56136.0,nan,nan
