Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1111,263,1,205,18,142,80,1820,3.52 %,0.009
B,SOCIALIST_ALLIANCE,89,26,1,14,1,16,6,153,0.30 %,0.0008
C,SUSTAINABLE_AUSTRALIA,291,79,2,63,7,65,21,528,1.02 %,0.0026
D,THE_GREENS,1543,316,3,286,29,190,111,2478,4.80 %,0.0122
E,ANIMAL_JUSTICE_PARTY,596,120,0,105,20,84,42,967,1.87 %,0.0048
F,ADVANCE,35,9,0,3,0,15,3,65,0.13 %,0.0003
G,GROUP_G,53,23,1,11,1,7,2,98,0.19 %,0.0005
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,132,50,0,21,1,3,3,210,0.41 %,0.001
J,LABOR__COUNTRY_LABOR,14191,4511,38,1923,357,918,676,22614,43.79 %,0.1118
K,LIBERAL__THE_NATIONALS,8280,2328,36,1120,240,620,278,12902,24.98 %,0.0638
L,GROUP_L,58,15,1,9,1,5,2,91,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,182,41,1,27,11,25,7,294,0.57 %,0.0015
N,KEEP_SYDNEY_OPEN,601,132,3,130,15,105,47,1033,2.00 %,0.0051
O,LIBERAL_DEMOCRATS,687,214,2,161,34,93,44,1235,2.39 %,0.0061
P,VOLUNTARY_EUTHANASIA_PARTY,186,62,0,28,8,32,3,319,0.62 %,0.0016
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,928,302,1,142,35,71,50,1529,2.96 %,0.0076
R,THE_SMALL_BUSINESS_PARTY,158,32,0,39,6,47,10,292,0.57 %,0.0014
S,GROUP_S,15,6,0,3,1,14,1,40,0.08 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2931,1063,3,417,161,274,100,4949,9.58 %,0.0245
_TOTAL_,TOTAL_VOTES,35182.0,10348.0,98.0,5045.0,964.0,2789.0,1573.0,55999.0,nan,nan
