Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2216,805,1,261,33,112,111,3539,6.82 %,0.0175
B,SOCIALIST_ALLIANCE,75,24,0,11,2,14,2,128,0.25 %,0.0006
C,SUSTAINABLE_AUSTRALIA,457,112,0,53,11,49,13,695,1.34 %,0.0034
D,THE_GREENS,2177,624,2,249,45,166,125,3388,6.53 %,0.0167
E,ANIMAL_JUSTICE_PARTY,827,292,0,92,31,64,51,1357,2.62 %,0.0067
F,ADVANCE,20,12,0,2,0,4,2,40,0.08 %,0.0002
G,GROUP_G,33,17,0,9,2,7,3,71,0.14 %,0.0004
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,106,36,0,13,4,2,2,163,0.31 %,0.0008
J,LABOR__COUNTRY_LABOR,12711,5152,38,872,402,769,451,20395,39.31 %,0.1008
K,LIBERAL__THE_NATIONALS,7679,3174,30,575,292,411,149,12310,23.73 %,0.0608
L,GROUP_L,51,21,0,6,3,4,1,86,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,174,56,2,18,1,10,5,266,0.51 %,0.0013
N,KEEP_SYDNEY_OPEN,283,86,0,43,3,35,23,473,0.91 %,0.0023
O,LIBERAL_DEMOCRATS,485,205,2,51,26,44,23,836,1.61 %,0.0041
P,VOLUNTARY_EUTHANASIA_PARTY,329,123,0,36,20,47,8,563,1.09 %,0.0028
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,654,176,0,38,25,16,14,923,1.78 %,0.0046
R,THE_SMALL_BUSINESS_PARTY,225,74,1,31,10,34,9,384,0.74 %,0.0019
S,GROUP_S,15,3,0,2,0,4,4,28,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3879,1467,7,357,136,241,126,6213,11.98 %,0.0307
_TOTAL_,TOTAL_VOTES,35126.0,13070.0,84.0,2883.0,1064.0,2072.0,1201.0,55500.0,nan,nan
