Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,294,141,1,70,13,56,18,593,1.24 %,0.0029
B,SOCIALIST_ALLIANCE,63,11,0,9,1,10,3,97,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,664,215,0,113,25,117,39,1173,2.45 %,0.0058
D,THE_GREENS,5775,1530,3,692,139,589,249,8977,18.73 %,0.0444
E,ANIMAL_JUSTICE_PARTY,548,184,1,98,24,65,26,946,1.97 %,0.0047
F,ADVANCE,15,5,0,3,2,8,0,33,0.07 %,0.0002
G,GROUP_G,25,3,0,1,0,2,0,31,0.06 %,0.0002
H,GROUP_H,2.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.01 %,0.0
I,FLUX,98,15,0,9,4,10,2,138,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,4956,1645,11,622,213,429,187,8063,16.82 %,0.0399
K,LIBERAL__THE_NATIONALS,13172,4807,28,1354,669,1094,290,21414,44.67 %,0.1058
L,GROUP_L,54,14,0,6,3,10,0,87,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,97,33,0,6,2,10,2,150,0.31 %,0.0007
N,KEEP_SYDNEY_OPEN,1229,359,0,200,19,209,76,2092,4.36 %,0.0103
O,LIBERAL_DEMOCRATS,843,208,4,124,49,106,43,1377,2.87 %,0.0068
P,VOLUNTARY_EUTHANASIA_PARTY,369,175,0,38,32,60,9,683,1.42 %,0.0034
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,251,102,3,31,10,19,8,424,0.88 %,0.0021
R,THE_SMALL_BUSINESS_PARTY,186,74,0,28,4,31,1,324,0.68 %,0.0016
S,GROUP_S,11,3,0,1,1,6,0,22,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,691,328,0,108,83,76,16,1302,2.72 %,0.0064
_TOTAL_,TOTAL_VOTES,30673.0,10202.0,53.0,3636.0,1316.0,2954.0,1001.0,49835.0,nan,nan
