Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,598,226,2,100,13,76,33,1048,2.24 %,0.0052
B,SOCIALIST_ALLIANCE,76,19,0,13,2,18,2,130,0.28 %,0.0006
C,SUSTAINABLE_AUSTRALIA,368,85,0,55,13,89,12,622,1.33 %,0.0031
D,THE_GREENS,2714,580,4,417,64,369,154,4302,9.20 %,0.0213
E,ANIMAL_JUSTICE_PARTY,448,126,0,67,20,75,25,761,1.63 %,0.0038
F,ADVANCE,25,10,0,1,0,8,0,44,0.09 %,0.0002
G,GROUP_G,52,16,1,4,1,5,0,79,0.17 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,157,46,0,6,3,15,0,227,0.49 %,0.0011
J,LABOR__COUNTRY_LABOR,11769,4080,60,1101,399,890,342,18641,39.86 %,0.0921
K,LIBERAL__THE_NATIONALS,9169,3035,73,813,422,814,222,14548,31.10 %,0.0719
L,GROUP_L,49,11,0,2,1,6,1,70,0.15 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,169,73,2,21,8,27,3,303,0.65 %,0.0015
N,KEEP_SYDNEY_OPEN,841,203,1,149,11,160,42,1407,3.01 %,0.007
O,LIBERAL_DEMOCRATS,630,161,1,99,28,90,23,1032,2.21 %,0.0051
P,VOLUNTARY_EUTHANASIA_PARTY,219,123,0,23,23,47,4,439,0.94 %,0.0022
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,322,138,6,50,19,27,8,570,1.22 %,0.0028
R,THE_SMALL_BUSINESS_PARTY,220,55,0,35,6,43,10,369,0.79 %,0.0018
S,GROUP_S,23,1,0,6,0,10,1,41,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1223,501,5,154,101,112,20,2116,4.52 %,0.0105
_TOTAL_,TOTAL_VOTES,31354.0,10116.0,164.0,3295.0,1149.0,2947.0,951.0,49976.0,nan,nan
