Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,644,130,1,127,15,69,40,1026,2.14 %,0.0051
B,SOCIALIST_ALLIANCE,65,11,0,6,1,14,1,98,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,441,80,0,64,35,78,20,718,1.50 %,0.0035
D,THE_GREENS,2107,362,2,319,54,243,111,3198,6.66 %,0.0158
E,ANIMAL_JUSTICE_PARTY,435,108,1,83,25,66,22,740,1.54 %,0.0037
F,ADVANCE,7,3,0,4,0,5,2,21,0.04 %,0.0001
G,GROUP_G,45,13,0,3,6,10,0,77,0.16 %,0.0004
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,104,20,0,7,4,5,4,144,0.30 %,0.0007
J,LABOR__COUNTRY_LABOR,7836,1836,46,927,336,517,258,11756,24.50 %,0.0581
K,LIBERAL__THE_NATIONALS,15273,3307,77,1445,839,973,295,22209,46.28 %,0.1098
L,GROUP_L,45,13,0,4,2,5,1,70,0.15 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,138,26,1,7,6,17,5,200,0.42 %,0.001
N,KEEP_SYDNEY_OPEN,567,100,0,125,9,119,32,952,1.98 %,0.0047
O,LIBERAL_DEMOCRATS,844,192,15,132,47,105,33,1368,2.85 %,0.0068
P,VOLUNTARY_EUTHANASIA_PARTY,224,52,3,18,21,24,2,344,0.72 %,0.0017
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,942,174,7,87,57,58,19,1344,2.80 %,0.0066
R,THE_SMALL_BUSINESS_PARTY,171,41,0,37,8,29,9,295,0.61 %,0.0015
S,GROUP_S,17,4,0,3,0,11,0,35,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2135,623,17,234,156,148,52,3365,7.01 %,0.0166
_TOTAL_,TOTAL_VOTES,34128.0,7546.0,182.0,3811.0,1643.0,2555.0,953.0,50818.0,nan,nan
