Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2055,1109,1,196,120,240,118,3839,7.91 %,0.019
B,SOCIALIST_ALLIANCE,95,50,2,8,5,12,2,174,0.36 %,0.0009
C,SUSTAINABLE_AUSTRALIA,402,169,1,33,38,65,26,734,1.51 %,0.0036
D,THE_GREENS,2340,1015,1,227,138,351,110,4182,8.62 %,0.0207
E,ANIMAL_JUSTICE_PARTY,593,250,1,44,33,67,30,1018,2.10 %,0.005
F,ADVANCE,11,10,0,1,0,2,1,25,0.05 %,0.0001
G,GROUP_G,23,10,0,0,1,12,1,47,0.10 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,87,41,0,3,6,10,2,149,0.31 %,0.0007
J,LABOR__COUNTRY_LABOR,7589,4153,43,420,374,746,261,13586,27.99 %,0.0671
K,LIBERAL__THE_NATIONALS,10339,6454,50,663,673,967,277,19423,40.02 %,0.096
L,GROUP_L,67,31,0,2,3,10,1,114,0.23 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,131,49,1,11,16,27,4,239,0.49 %,0.0012
N,KEEP_SYDNEY_OPEN,133,58,0,23,7,26,11,258,0.53 %,0.0013
O,LIBERAL_DEMOCRATS,289,120,0,27,15,43,17,511,1.05 %,0.0025
P,VOLUNTARY_EUTHANASIA_PARTY,294,153,1,19,43,69,9,588,1.21 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,237,128,2,15,20,28,6,436,0.90 %,0.0022
R,THE_SMALL_BUSINESS_PARTY,171,65,0,18,9,29,7,299,0.62 %,0.0015
S,GROUP_S,20,3,0,2,0,6,0,31,0.06 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1410,915,4,164,125,177,50,2845,5.86 %,0.0141
_TOTAL_,TOTAL_VOTES,27859.0,15461.0,117.0,1959.0,1663.0,2926.0,991.0,50976.0,nan,nan
