Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1033,243,0,179,10,151,51,1667,3.65 %,0.0082
B,SOCIALIST_ALLIANCE,99,35,0,18,1,8,4,165,0.36 %,0.0008
C,SUSTAINABLE_AUSTRALIA,228,61,0,41,5,58,24,417,0.91 %,0.0021
D,THE_GREENS,1337,448,0,225,28,172,93,2303,5.05 %,0.0114
E,ANIMAL_JUSTICE_PARTY,476,102,0,86,15,86,29,794,1.74 %,0.0039
F,ADVANCE,36,7,0,8,0,8,2,61,0.13 %,0.0003
G,GROUP_G,51,16,0,5,1,4,1,78,0.17 %,0.0004
H,GROUP_H,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,164,54,0,19,1,7,5,250,0.55 %,0.0012
J,LABOR__COUNTRY_LABOR,13710,4608,4,1870,318,983,503,21996,48.23 %,0.1087
K,LIBERAL__THE_NATIONALS,6853,1655,30,803,195,455,163,10154,22.26 %,0.0502
L,GROUP_L,60,22,0,6,0,8,2,98,0.21 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,280,102,1,28,5,18,9,443,0.97 %,0.0022
N,KEEP_SYDNEY_OPEN,327,57,0,72,6,74,24,560,1.23 %,0.0028
O,LIBERAL_DEMOCRATS,694,185,9,117,22,88,27,1142,2.50 %,0.0056
P,VOLUNTARY_EUTHANASIA_PARTY,136,40,0,18,12,26,4,236,0.52 %,0.0012
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1040,411,0,174,37,111,37,1810,3.97 %,0.0089
R,THE_SMALL_BUSINESS_PARTY,139,26,1,29,4,32,4,235,0.52 %,0.0012
S,GROUP_S,12,4,0,5,0,16,2,39,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2003,463,1,279,108,245,48,3147,6.90 %,0.0156
_TOTAL_,TOTAL_VOTES,31788.0,9330.0,49.0,4285.0,782.0,2604.0,1118.0,49956.0,nan,nan
