Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1345,236,0,229,41,183,76,2110,4.21 %,0.0104
B,SOCIALIST_ALLIANCE,72,9,0,11,4,11,6,113,0.23 %,0.0006
C,SUSTAINABLE_AUSTRALIA,422,74,0,49,16,69,19,649,1.30 %,0.0032
D,THE_GREENS,1244,172,0,267,42,168,98,1991,3.97 %,0.0098
E,ANIMAL_JUSTICE_PARTY,550,100,0,107,29,91,33,910,1.82 %,0.0045
F,ADVANCE,31,3,0,8,0,7,0,49,0.10 %,0.0002
G,GROUP_G,54,4,0,9,0,8,0,75,0.15 %,0.0004
H,GROUP_H,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,103,16,0,8,1,6,10,144,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,9535,1773,15,1573,317,692,374,14279,28.50 %,0.0706
K,LIBERAL__THE_NATIONALS,14593,2543,20,1718,618,998,327,20817,41.55 %,0.1029
L,GROUP_L,49,6,0,8,0,9,0,72,0.14 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,170,28,0,24,14,27,6,269,0.54 %,0.0013
N,KEEP_SYDNEY_OPEN,411,57,0,100,5,76,31,680,1.36 %,0.0034
O,LIBERAL_DEMOCRATS,898,158,0,178,37,127,49,1447,2.89 %,0.0072
P,VOLUNTARY_EUTHANASIA_PARTY,210,28,0,31,14,42,7,332,0.66 %,0.0016
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,803,170,3,150,44,85,25,1280,2.55 %,0.0063
R,THE_SMALL_BUSINESS_PARTY,161,36,0,41,6,37,13,294,0.59 %,0.0015
S,GROUP_S,19,4,0,4,0,7,1,35,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2948,626,0,393,193,319,73,4552,9.08 %,0.0225
_TOTAL_,TOTAL_VOTES,36813.0,6402.0,39.0,5297.0,1404.0,3027.0,1246.0,54228.0,nan,nan
