Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,8370,4784,32,241,388,609,186,14610,31.90 %,0.0722
B,SOCIALIST_ALLIANCE,86,44,0,1,1,9,1,142,0.31 %,0.0007
C,SUSTAINABLE_AUSTRALIA,278,128,1,17,14,49,16,503,1.10 %,0.0025
D,THE_GREENS,645,311,2,65,31,112,30,1196,2.61 %,0.0059
E,ANIMAL_JUSTICE_PARTY,247,152,0,22,11,25,11,468,1.02 %,0.0023
F,ADVANCE,32,19,0,2,0,2,1,56,0.12 %,0.0003
G,GROUP_G,40,18,1,0,4,8,0,71,0.16 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,56,32,0,1,1,2,1,93,0.20 %,0.0005
J,LABOR__COUNTRY_LABOR,3087,2061,29,206,187,265,76,5911,12.91 %,0.0292
K,LIBERAL__THE_NATIONALS,8171,5220,83,360,728,777,97,15436,33.71 %,0.0763
L,GROUP_L,304,89,1,3,12,22,7,438,0.96 %,0.0022
M,AUSTRALIAN_CONSERVATIVES_NSW,90,52,0,6,4,15,4,171,0.37 %,0.0008
N,KEEP_SYDNEY_OPEN,74,48,0,15,1,19,8,165,0.36 %,0.0008
O,LIBERAL_DEMOCRATS,309,165,0,9,20,34,6,543,1.19 %,0.0027
P,VOLUNTARY_EUTHANASIA_PARTY,212,106,0,12,30,32,5,397,0.87 %,0.002
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,314,161,4,22,29,23,2,555,1.21 %,0.0027
R,THE_SMALL_BUSINESS_PARTY,149,99,0,14,7,24,5,298,0.65 %,0.0015
S,GROUP_S,11,4,0,0,0,3,0,18,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2621,1498,16,115,201,210,55,4716,10.30 %,0.0233
_TOTAL_,TOTAL_VOTES,27338.0,16095.0,178.0,1178.0,1696.0,2271.0,539.0,49295.0,nan,nan
