Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2153,962,11,247,64,100,76,3613,7.36 %,0.0179
B,SOCIALIST_ALLIANCE,51,22,1,7,2,9,0,92,0.19 %,0.0005
C,SUSTAINABLE_AUSTRALIA,402,175,3,60,22,41,14,717,1.46 %,0.0035
D,THE_GREENS,1675,745,4,212,65,99,62,2862,5.83 %,0.0141
E,ANIMAL_JUSTICE_PARTY,487,233,3,50,13,24,17,827,1.68 %,0.0041
F,ADVANCE,29,20,0,5,0,3,2,59,0.12 %,0.0003
G,GROUP_G,35,20,0,3,1,1,0,60,0.12 %,0.0003
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,147,57,2,9,2,3,2,222,0.45 %,0.0011
J,LABOR__COUNTRY_LABOR,7065,4888,100,561,351,299,152,13416,27.32 %,0.0663
K,LIBERAL__THE_NATIONALS,9348,7906,185,608,669,386,138,19240,39.18 %,0.0951
L,GROUP_L,114,43,0,6,3,11,1,178,0.36 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,136,94,1,9,18,6,5,269,0.55 %,0.0013
N,KEEP_SYDNEY_OPEN,109,47,0,33,0,10,10,209,0.43 %,0.001
O,LIBERAL_DEMOCRATS,274,166,2,54,15,17,11,539,1.10 %,0.0027
P,VOLUNTARY_EUTHANASIA_PARTY,338,244,0,24,30,30,2,668,1.36 %,0.0033
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,518,276,9,48,34,22,4,911,1.86 %,0.0045
R,THE_SMALL_BUSINESS_PARTY,147,108,0,12,5,10,7,289,0.59 %,0.0014
S,GROUP_S,11,7,0,2,1,2,0,23,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2761,1459,3,247,215,150,55,4890,9.96 %,0.0242
_TOTAL_,TOTAL_VOTES,27849.0,18456.0,329.0,2314.0,1542.0,1251.0,590.0,52331.0,nan,nan
