Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,821,143,0,213,25,81,49,1332,2.68 %,0.0066
B,SOCIALIST_ALLIANCE,413,90,0,33,15,26,8,585,1.18 %,0.0029
C,SUSTAINABLE_AUSTRALIA,483,114,0,86,11,58,22,774,1.56 %,0.0038
D,THE_GREENS,6030,1084,2,788,106,449,251,8710,17.52 %,0.043
E,ANIMAL_JUSTICE_PARTY,753,171,0,148,21,58,50,1201,2.42 %,0.0059
F,ADVANCE,14,3,1,4,0,4,0,26,0.05 %,0.0001
G,GROUP_G,27,5,0,3,0,1,1,37,0.07 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,121,18,0,14,4,12,5,174,0.35 %,0.0009
J,LABOR__COUNTRY_LABOR,12691,2728,36,1484,616,711,398,18664,37.54 %,0.0922
K,LIBERAL__THE_NATIONALS,7755,2124,22,913,410,557,168,11949,24.03 %,0.0591
L,GROUP_L,73,21,0,13,7,12,2,128,0.26 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,164,34,0,21,8,8,3,238,0.48 %,0.0012
N,KEEP_SYDNEY_OPEN,491,104,0,94,6,57,29,781,1.57 %,0.0039
O,LIBERAL_DEMOCRATS,499,124,2,73,14,39,21,772,1.55 %,0.0038
P,VOLUNTARY_EUTHANASIA_PARTY,488,105,0,58,29,35,13,728,1.46 %,0.0036
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,399,83,2,42,26,22,12,586,1.18 %,0.0029
R,THE_SMALL_BUSINESS_PARTY,427,72,0,60,17,41,18,635,1.28 %,0.0031
S,GROUP_S,22,3,0,4,1,4,0,34,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1516,321,0,223,103,120,42,2325,4.68 %,0.0115
_TOTAL_,TOTAL_VOTES,35467.0,7560.0,67.0,4501.0,1443.0,2322.0,1163.0,52523.0,nan,nan
