Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,225,44,1,55,9,45,19,398,0.86 %,0.002
B,SOCIALIST_ALLIANCE,238,64,0,38,5,36,17,398,0.86 %,0.002
C,SUSTAINABLE_AUSTRALIA,271,67,0,89,8,79,31,545,1.17 %,0.0027
D,THE_GREENS,11308,2255,0,1713,237,1747,682,17942,38.59 %,0.0887
E,ANIMAL_JUSTICE_PARTY,535,118,0,120,34,94,38,939,2.02 %,0.0046
F,ADVANCE,18,3,0,0,1,1,0,23,0.05 %,0.0001
G,GROUP_G,22,1,0,2,0,4,1,30,0.06 %,0.0001
H,GROUP_H,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,108,23,0,24,3,27,6,191,0.41 %,0.0009
J,LABOR__COUNTRY_LABOR,7562,2057,16,1365,313,1068,435,12816,27.56 %,0.0633
K,LIBERAL__THE_NATIONALS,3803,922,4,891,174,609,234,6637,14.27 %,0.0328
L,GROUP_L,113,20,0,13,2,20,10,178,0.38 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,63,13,0,13,2,21,2,114,0.25 %,0.0006
N,KEEP_SYDNEY_OPEN,1856,368,0,476,34,483,141,3358,7.22 %,0.0166
O,LIBERAL_DEMOCRATS,436,115,0,106,12,83,40,792,1.70 %,0.0039
P,VOLUNTARY_EUTHANASIA_PARTY,295,85,0,39,11,67,16,513,1.10 %,0.0025
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,198,60,0,31,13,21,7,330,0.71 %,0.0016
R,THE_SMALL_BUSINESS_PARTY,210,69,0,36,10,32,13,370,0.80 %,0.0018
S,GROUP_S,36,5,0,2,1,12,2,58,0.12 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,457,140,0,83,43,61,8,792,1.70 %,0.0039
_TOTAL_,TOTAL_VOTES,28921.0,6638.0,21.0,5267.0,928.0,4557.0,1757.0,48089.0,nan,nan
