Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,174,54,0,40,7,43,8,326,0.69 %,0.0016
B,SOCIALIST_ALLIANCE,69,15,0,11,3,16,2,116,0.24 %,0.0006
C,SUSTAINABLE_AUSTRALIA,516,152,2,101,26,117,31,945,1.99 %,0.0047
D,THE_GREENS,4737,970,9,666,136,725,220,7463,15.70 %,0.0369
E,ANIMAL_JUSTICE_PARTY,542,90,1,71,20,111,35,870,1.83 %,0.0043
F,ADVANCE,11,2,0,2,0,7,1,23,0.05 %,0.0001
G,GROUP_G,21,1,0,0,1,8,2,33,0.07 %,0.0002
H,GROUP_H,12.0,5.0,0.0,1.0,2.0,3.0,0.0,23.0,0.05 %,0.0001
I,FLUX,84,14,0,13,3,21,4,139,0.29 %,0.0007
J,LABOR__COUNTRY_LABOR,4603,1240,28,685,201,662,189,7608,16.01 %,0.0376
K,LIBERAL__THE_NATIONALS,14665,3983,53,1659,714,1785,367,23226,48.86 %,0.1148
L,GROUP_L,79,16,0,8,3,12,3,121,0.25 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,217,54,2,18,7,35,5,338,0.71 %,0.0017
N,KEEP_SYDNEY_OPEN,1093,174,0,237,32,326,69,1931,4.06 %,0.0095
O,LIBERAL_DEMOCRATS,775,190,2,123,30,171,46,1337,2.81 %,0.0066
P,VOLUNTARY_EUTHANASIA_PARTY,647,198,3,52,46,98,6,1050,2.21 %,0.0052
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,250,59,1,32,14,20,10,386,0.81 %,0.0019
R,THE_SMALL_BUSINESS_PARTY,178,57,0,33,11,36,12,327,0.69 %,0.0016
S,GROUP_S,22,4,0,0,0,8,1,35,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,682,254,0,110,57,86,13,1202,2.53 %,0.0059
_TOTAL_,TOTAL_VOTES,30602.0,7717.0,109.0,3979.0,1333.0,4358.0,1056.0,49154.0,nan,nan
