Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3094,2262,15,278,151,215,135,6150,13.08 %,0.0304
B,SOCIALIST_ALLIANCE,78,57,1,11,2,17,2,168,0.36 %,0.0008
C,SUSTAINABLE_AUSTRALIA,307,190,3,28,16,43,16,603,1.28 %,0.003
D,THE_GREENS,1812,891,7,211,42,140,93,3196,6.80 %,0.0158
E,ANIMAL_JUSTICE_PARTY,268,213,2,25,16,21,16,561,1.19 %,0.0028
F,ADVANCE,29,10,0,2,1,2,1,45,0.10 %,0.0002
G,GROUP_G,18,12,0,0,2,5,0,37,0.08 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,42,19,1,2,2,3,2,71,0.15 %,0.0004
J,LABOR__COUNTRY_LABOR,4124,2598,52,386,206,250,136,7752,16.49 %,0.0383
K,LIBERAL__THE_NATIONALS,9549,8813,264,676,876,879,216,21273,45.25 %,0.1051
L,GROUP_L,113,45,0,7,4,8,2,179,0.38 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,120,86,2,8,6,13,7,242,0.51 %,0.0012
N,KEEP_SYDNEY_OPEN,77,27,0,19,2,10,5,140,0.30 %,0.0007
O,LIBERAL_DEMOCRATS,202,142,3,19,8,20,10,404,0.86 %,0.002
P,VOLUNTARY_EUTHANASIA_PARTY,227,158,1,20,27,25,10,468,1.00 %,0.0023
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,519,352,3,29,49,34,10,996,2.12 %,0.0049
R,THE_SMALL_BUSINESS_PARTY,121,82,2,0,6,13,6,230,0.49 %,0.0011
S,GROUP_S,6,4,0,2,1,6,1,20,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2275,1599,10,148,182,184,54,4452,9.47 %,0.022
_TOTAL_,TOTAL_VOTES,24464.0,18708.0,382.0,1946.0,1624.0,1912.0,759.0,49795.0,nan,nan
