Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,577,155,4,69,21,83,37,946,2.02 %,0.0047
B,SOCIALIST_ALLIANCE,76,15,0,13,5,21,6,136,0.29 %,0.0007
C,SUSTAINABLE_AUSTRALIA,256,56,0,33,15,55,12,427,0.91 %,0.0021
D,THE_GREENS,2107,366,1,316,88,219,109,3206,6.85 %,0.0158
E,ANIMAL_JUSTICE_PARTY,407,75,1,64,14,56,15,632,1.35 %,0.0031
F,ADVANCE,24,1,0,5,0,3,1,34,0.07 %,0.0002
G,GROUP_G,25,5,1,1,2,6,1,41,0.09 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,125,22,1,11,2,12,1,174,0.37 %,0.0009
J,LABOR__COUNTRY_LABOR,8851,2311,36,950,380,626,357,13511,28.85 %,0.0668
K,LIBERAL__THE_NATIONALS,14030,3598,81,990,793,923,349,20764,44.34 %,0.1026
L,GROUP_L,46,16,0,3,2,13,2,82,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,149,24,0,21,3,20,5,222,0.47 %,0.0011
N,KEEP_SYDNEY_OPEN,549,118,0,104,17,104,35,927,1.98 %,0.0046
O,LIBERAL_DEMOCRATS,706,190,3,102,44,110,35,1190,2.54 %,0.0059
P,VOLUNTARY_EUTHANASIA_PARTY,172,40,0,9,20,30,7,278,0.59 %,0.0014
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,956,235,7,67,48,75,27,1415,3.02 %,0.007
R,THE_SMALL_BUSINESS_PARTY,195,44,0,37,12,31,5,324,0.69 %,0.0016
S,GROUP_S,21,8,0,3,0,2,1,35,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1595,405,8,122,154,119,57,2460,5.25 %,0.0122
_TOTAL_,TOTAL_VOTES,33081.0,8188.0,150.0,3092.0,1650.0,2558.0,1133.0,49852.0,nan,nan
