Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,9612,5643,35,508,272,341,268,16679,33.94 %,0.0824
B,SOCIALIST_ALLIANCE,74,30,0,7,1,6,4,122,0.25 %,0.0006
C,SUSTAINABLE_AUSTRALIA,241,112,1,38,10,37,8,447,0.91 %,0.0022
D,THE_GREENS,1541,654,4,197,43,97,76,2612,5.32 %,0.0129
E,ANIMAL_JUSTICE_PARTY,358,187,2,47,14,22,24,654,1.33 %,0.0032
F,ADVANCE,19,14,0,3,1,3,0,40,0.08 %,0.0002
G,GROUP_G,31,14,1,7,2,4,3,62,0.13 %,0.0003
H,GROUP_H,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,50,26,2,2,1,6,0,87,0.18 %,0.0004
J,LABOR__COUNTRY_LABOR,3880,2086,59,388,188,195,143,6939,14.12 %,0.0343
K,LIBERAL__THE_NATIONALS,7657,4491,87,571,407,360,124,13697,27.88 %,0.0677
L,GROUP_L,128,59,0,7,5,8,2,209,0.43 %,0.001
M,AUSTRALIAN_CONSERVATIVES_NSW,168,101,0,12,11,5,6,303,0.62 %,0.0015
N,KEEP_SYDNEY_OPEN,169,79,0,49,7,29,9,342,0.70 %,0.0017
O,LIBERAL_DEMOCRATS,313,171,4,42,10,31,8,579,1.18 %,0.0029
P,VOLUNTARY_EUTHANASIA_PARTY,286,148,1,29,23,28,5,520,1.06 %,0.0026
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1065,514,2,64,53,27,19,1744,3.55 %,0.0086
R,THE_SMALL_BUSINESS_PARTY,156,69,1,13,1,15,4,259,0.53 %,0.0013
S,GROUP_S,16,10,0,2,1,3,0,32,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2174,1205,4,151,97,109,52,3792,7.72 %,0.0187
_TOTAL_,TOTAL_VOTES,29971.0,16577.0,229.0,2230.0,1163.0,1343.0,800.0,52313.0,nan,nan
