Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2851,1255,16,395,78,134,88,4817,10.12 %,0.0238
B,SOCIALIST_ALLIANCE,65,21,3,7,6,4,4,110,0.23 %,0.0005
C,SUSTAINABLE_AUSTRALIA,629,184,7,105,25,71,21,1042,2.19 %,0.0052
D,THE_GREENS,3477,781,13,550,78,231,115,5245,11.02 %,0.0259
E,ANIMAL_JUSTICE_PARTY,383,116,4,80,20,25,13,641,1.35 %,0.0032
F,ADVANCE,21,9,1,2,2,5,0,40,0.08 %,0.0002
G,GROUP_G,34,13,0,3,0,2,2,54,0.11 %,0.0003
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,82,24,1,2,2,0,3,114,0.24 %,0.0006
J,LABOR__COUNTRY_LABOR,5986,2694,68,714,255,275,146,10138,21.29 %,0.0501
K,LIBERAL__THE_NATIONALS,10995,5045,133,984,572,421,154,18304,38.45 %,0.0905
L,GROUP_L,261,47,3,26,4,15,7,363,0.76 %,0.0018
M,AUSTRALIAN_CONSERVATIVES_NSW,104,41,2,18,7,5,5,182,0.38 %,0.0009
N,KEEP_SYDNEY_OPEN,116,34,1,25,1,15,8,200,0.42 %,0.001
O,LIBERAL_DEMOCRATS,238,121,0,50,8,12,4,433,0.91 %,0.0021
P,VOLUNTARY_EUTHANASIA_PARTY,538,151,5,56,25,36,5,816,1.71 %,0.004
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,453,169,5,54,25,26,10,742,1.56 %,0.0037
R,THE_SMALL_BUSINESS_PARTY,131,58,1,15,7,14,8,234,0.49 %,0.0012
S,GROUP_S,6,2,0,0,4,5,0,17,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2374,1104,18,286,134,138,50,4104,8.62 %,0.0203
_TOTAL_,TOTAL_VOTES,30827.0,12474.0,324.0,3536.0,1288.0,1455.0,679.0,50583.0,nan,nan
