Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,622,77,1,121,30,136,45,1032,2.18 %,0.0051
B,SOCIALIST_ALLIANCE,224,30,0,27,3,38,7,329,0.69 %,0.0016
C,SUSTAINABLE_AUSTRALIA,349,64,1,60,27,115,31,647,1.37 %,0.0032
D,THE_GREENS,2700,362,6,434,75,394,187,4158,8.78 %,0.0206
E,ANIMAL_JUSTICE_PARTY,407,58,0,78,18,70,30,661,1.40 %,0.0033
F,ADVANCE,25,7,0,3,1,10,3,49,0.10 %,0.0002
G,GROUP_G,48,4,0,5,2,14,4,77,0.16 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,127,20,0,13,6,24,6,196,0.41 %,0.001
J,LABOR__COUNTRY_LABOR,9097,1578,33,1473,456,988,608,14233,30.05 %,0.0703
K,LIBERAL__THE_NATIONALS,13075,1897,62,1700,676,1392,523,19325,40.80 %,0.0955
L,GROUP_L,43,5,0,8,1,8,1,66,0.14 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,149,20,1,33,9,39,9,260,0.55 %,0.0013
N,KEEP_SYDNEY_OPEN,560,73,1,123,13,126,44,940,1.98 %,0.0046
O,LIBERAL_DEMOCRATS,855,125,4,194,35,178,66,1457,3.08 %,0.0072
P,VOLUNTARY_EUTHANASIA_PARTY,183,16,1,30,18,33,5,286,0.60 %,0.0014
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1003,136,4,175,40,109,49,1516,3.20 %,0.0075
R,THE_SMALL_BUSINESS_PARTY,156,26,0,29,13,44,11,279,0.59 %,0.0014
S,GROUP_S,24,2,0,3,4,10,0,43,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1052,200,3,211,139,159,25,1789,3.78 %,0.0088
_TOTAL_,TOTAL_VOTES,33434.0,5095.0,124.0,5032.0,1588.0,3975.0,1763.0,51011.0,nan,nan
