Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1132,304,1,178,46,137,35,1833,3.85 %,0.0091
B,SOCIALIST_ALLIANCE,66,18,1,25,4,14,5,133,0.28 %,0.0007
C,SUSTAINABLE_AUSTRALIA,481,89,0,57,16,67,21,731,1.54 %,0.0036
D,THE_GREENS,1803,334,0,311,43,186,90,2767,5.81 %,0.0137
E,ANIMAL_JUSTICE_PARTY,654,155,1,104,28,70,22,1034,2.17 %,0.0051
F,ADVANCE,12,16,0,7,2,4,0,41,0.09 %,0.0002
G,GROUP_G,33,10,0,4,1,9,0,57,0.12 %,0.0003
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,100,33,0,13,2,9,3,160,0.34 %,0.0008
J,LABOR__COUNTRY_LABOR,9983,3046,13,1023,422,567,336,15390,32.32 %,0.0761
K,LIBERAL__THE_NATIONALS,11084,3275,12,962,508,561,206,16608,34.88 %,0.0821
L,GROUP_L,55,19,0,4,0,12,2,92,0.19 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,163,46,1,15,10,7,10,252,0.53 %,0.0012
N,KEEP_SYDNEY_OPEN,395,107,0,67,7,53,24,653,1.37 %,0.0032
O,LIBERAL_DEMOCRATS,616,174,1,89,24,73,16,993,2.09 %,0.0049
P,VOLUNTARY_EUTHANASIA_PARTY,233,59,0,29,16,42,10,389,0.82 %,0.0019
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,790,191,2,79,45,45,18,1170,2.46 %,0.0058
R,THE_SMALL_BUSINESS_PARTY,141,43,0,25,7,22,9,247,0.52 %,0.0012
S,GROUP_S,24,6,0,4,1,6,2,43,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,3077,1054,2,362,171,254,83,5003,10.51 %,0.0247
_TOTAL_,TOTAL_VOTES,33346.0,9722.0,35.0,3564.0,1384.0,2185.0,961.0,51197.0,nan,nan
